Time,total_fraction_lambda_H
89,0.963082
89.25,0.970133
89.5,0.936154
89.75,0.980239
90,0.965312
90.25,0.989576
90.5,0.963044
90.75,0.955697
91,0.923361
91.25,0.941839
91.5,0.966903
91.75,0.885042
92,0.98079
92.25,0.935603
92.5,0.960949
92.75,0.96075
93,0.954958
93.25,0.983751
93.5,0.961133
93.75,0.976808
94,0.968485
94.25,0.970017
94.5,0.96887
94.75,0.972169
95,0.98282
95.25,0.970701
95.5,0.959962
95.75,0.946337
96,0.934996
96.25,0.925305
96.5,0.93413
96.75,0.976476
97,0.973473
97.25,0.958576
97.5,0.976978
97.75,0.949264
98,0.959536
98.25,0.832425
98.5,0.986008
98.75,0.973768
99,0.96836
99.25,0.915671
99.5,0.966391
99.75,0.939668
100,0.909723
100.25,0.984942
100.5,0.929572
100.75,0.967147
101,0.95479
101.25,0.985878
101.5,0.949239
101.75,0.964854
102,0.91295
102.25,0.954755
102.5,0.913978
102.75,0.90405
103,0.932429
103.25,0.977612
103.5,0.9181
103.75,0.930677
104,0.940029
104.25,0.973176
104.5,0.98608
104.75,0.808523
105,0.808274
105.25,0.945155
105.5,0.939564
105.75,0.953889
106,0.879835
106.25,0.903231
106.5,0.929489
106.75,0.938407
107,0.981514
107.25,0.978696
107.5,0.950069
107.75,0.969126
108,0.980475
108.25,0.952984
108.5,0.957381
108.75,0.961438
109,0.960189
109.25,0.977751
109.5,0.974775
109.75,0.972668
110,0.940258
110.25,0.909803
110.5,0.927858
110.75,0.941859
111,0.926319
111.25,0.934422
111.5,0.971201
111.75,0.91502
112,0.983543
112.25,0.941698
112.5,0.981566
112.75,0.970157
113,0.9193
113.25,0.949933
113.5,0.967201
113.75,0.896914
114,0.956353
114.25,0.932351
114.5,0.946977
114.75,0.94716
115,0.954067
115.25,0.921639
115.5,0.960993
115.75,0.949184
116,0.89869
116.25,0.90734
116.5,0.94547
116.75,0.948659
117,0.982971
117.25,0.97129
117.5,0.967446
117.75,0.98357
118,0.95363
118.25,0.932464
118.5,0.947276
118.75,0.950013
119,0.968374
119.25,0.9578
119.5,0.954003
119.75,0.951608
120,0.938149
120.25,0.961657
120.5,0.974678
120.75,0.977948
121,0.974128
121.25,0.918631
121.5,0.885657
121.75,0.877503
122,0.914556
122.25,0.951584
122.5,0.935691
122.75,0.959621
123,0.977056
123.25,0.932415
123.5,0.95184
123.75,0.954933
124,0.98217
124.25,0.978108
124.5,0.922168
124.75,0.958786
125,0.961676
125.25,0.95468
125.5,0.956866
125.75,0.991187
126,0.943895
126.25,0.955759
126.5,0.953819
126.75,0.961912
127,0.955315
127.25,0.95243
127.5,0.95712
127.75,0.927357
128,0.931612
128.25,0.971189
128.5,0.95716
128.75,0.941225
129,0.935902
129.25,0.86889
129.5,0.910907
129.75,0.929743
130,0.936608
130.25,0.962452
130.5,0.949429
130.75,0.90144
131,0.926398
131.25,0.946313
131.5,0.973508
131.75,0.953935
132,0.916603
132.25,0.924464
132.5,0.980749
132.75,0.985072
133,0.975069
133.25,0.959771
133.5,0.91141
133.75,0.978141
134,0.978546
134.25,0.9352
134.5,0.878644
134.75,0.971718
135,0.880911
135.25,0.918568
135.5,0.967708
135.75,0.970858
136,0.936784
136.25,0.976203
136.5,0.977409
136.75,0.965519
137,0.9802
137.25,0.92406
137.5,0.957505
137.75,0.963071
138,0.985021
138.25,0.993017
138.5,0.981247
138.75,0.971264
139,0.988546
139.25,0.981851
139.5,0.941361
139.75,0.981796
140,0.954653
140.25,0.986691
140.5,0.989888
140.75,0.985112
141,0.976604
141.25,0.959038
141.5,0.961166
141.75,0.900537
142,0.953162
142.25,0.880774
142.5,0.971276
142.75,0.95921
143,0.947445
143.25,0.970118
143.5,0.954737
143.75,0.955259
144,0.930352
144.25,0.929001
144.5,0.944172
144.75,0.974534
145,0.921089
145.25,0.895968
145.5,0.896001
145.75,0.945515
146,0.94004
146.25,0.979857
146.5,0.960756
146.75,0.948408
147,0.975275
147.25,0.987358
147.5,0.984972
147.75,0.972585
148,0.986242
148.25,0.962563
148.5,0.847719
148.75,0.922895
149,0.917581
149.25,0.973506
149.5,0.96349
149.75,0.94214
150,0.952708
150.25,0.923914
150.5,0.931857
150.75,0.944409
151,0.94914
151.25,0.96561
151.5,0.900155
151.75,0.954124
152,0.950927
152.25,0.933075
152.5,0.975926
152.75,0.888876
153,0.8251
153.25,0.92832
153.5,0.927932
153.75,0.924265
154,0.938759
154.25,0.92134
154.5,0.935513
154.75,0.965881
155,0.911553
155.25,0.957106
155.5,0.956002
155.75,0.953372
156,0.938067
156.25,0.963108
156.5,0.944604
156.75,0.909987
157,0.954397
157.25,0.938867
157.5,0.955948
157.75,0.932274
158,0.932681
158.25,0.912596
158.5,0.901579
158.75,0.939164
159,0.946975
159.25,0.983353
159.5,0.932613
159.75,0.983378
160,0.98768
160.25,0.973178
160.5,0.971498
160.75,0.982804
161,0.951352
161.25,0.967131
161.5,0.970131
161.75,0.9801
162,0.982654
162.25,0.960674
162.5,0.992965
162.75,0.971914
163,0.970418
163.25,0.99082
163.5,0.91649
163.75,0.88397
164,0.93657
164.25,0.978941
164.5,0.840416
164.75,0.959553
165,0.843964
165.25,0.823203
165.5,0.947489
165.75,0.957093
166,0.980626
166.25,0.958552
166.5,0.99106
166.75,0.871948
167,0.928838
167.25,0.946639
167.5,0.99127
167.75,0.960063
168,0.980597
168.25,0.964612
168.5,0.990584
168.75,0.932652
169,0.972769
169.25,0.911265
169.5,0.956276
169.75,0.96077
170,0.908424
170.25,0.972945
170.5,0.971047
170.75,0.984433
171,0.970897
171.25,0.938263
171.5,0.96914
171.75,0.827715
172,0.870203
172.25,0.896122
172.5,0.966519
172.75,0.954823
173,0.967995
173.25,0.920132
173.5,0.942847
173.75,0.887412
174,0.973841
174.25,0.904267
174.5,0.980453
174.75,0.941775
175,0.959847
175.25,0.969419
175.5,0.958637
175.75,0.962149
176,0.93243
176.25,0.955496
176.5,0.959735
176.75,0.979273
177,0.976663
177.25,0.968797
177.5,0.914508
177.75,0.927333
178,0.953251
178.25,0.930362
178.5,0.966756
178.75,0.929283
179,0.96163
179.25,0.983905
179.5,0.9369
179.75,0.948109
180,0.963422
180.25,0.933892
180.5,0.932585
180.75,0.974255
181,0.928345
181.25,0.906993
181.5,0.901695
181.75,0.937491
182,0.868617
182.25,0.944278
182.5,0.946065
182.75,0.952549
183,0.952757
183.25,0.878928
183.5,0.921778
183.75,0.860381
184,0.945587
184.25,0.9632
184.5,0.938666
184.75,0.923484
185,0.953581
185.25,0.936493
185.5,0.940625
185.75,0.958461
186,0.981902
186.25,0.940486
186.5,0.963831
186.75,0.913734
187,0.943902
187.25,0.947467
187.5,0.943675
187.75,0.975778
188,0.971476
188.25,0.973323
188.5,0.97255
188.75,0.978718
189,0.935446
189.25,0.940689
189.5,0.918148
189.75,0.95269
190,0.940334
190.25,0.819297
190.5,0.968633
190.75,0.884857
191,0.971754
191.25,0.977776
191.5,0.954971
191.75,0.979978
192,0.94741
192.25,0.959689
192.5,0.91351
192.75,0.967763
193,0.939652
193.25,0.970942
193.5,0.984007
193.75,0.953106
194,0.909439
194.25,0.970861
194.5,0.968872
194.75,0.852216
195,0.9539
195.25,0.908276
195.5,0.924661
195.75,0.945732
196,0.923368
196.25,0.973371
196.5,0.979772
196.75,0.964782
197,0.972635
197.25,0.984159
197.5,0.904762
197.75,0.961373
198,0.976779
198.25,0.92676
198.5,0.967255
198.75,0.937098
199,0.959271
199.25,0.914874
199.5,0.939084
199.75,0.963492
200,0.960247
200.25,0.978765
200.5,0.913337
200.75,0.981171
201,0.887952
201.25,0.966491
201.5,0.957898
201.75,0.97552
202,0.951877
202.25,0.970678
202.5,0.941357
202.75,0.950588
203,0.932561
203.25,0.93361
203.5,0.935388
203.75,0.955942
204,0.977136
204.25,0.981221
204.5,0.90961
204.75,0.933059
205,0.953574
205.25,0.987266
205.5,0.924906
205.75,0.953681
206,0.887367
206.25,0.95492
206.5,0.932987
206.75,0.925217
207,0.835348
207.25,0.97211
207.5,0.941069
207.75,0.96276
208,0.955868
208.25,0.888532
208.5,0.971549
208.75,0.938297
209,0.967446
209.25,0.962424
209.5,0.939288
209.75,0.919572
210,0.981017
210.25,0.858505
210.5,0.965307
210.75,0.941679
211,0.952526
211.25,0.897127
211.5,0.945832
211.75,0.917016
212,0.944041
212.25,0.975888
212.5,0.973215
212.75,0.968431
213,0.955924
213.25,0.963499
213.5,0.971469
213.75,0.981914
214,0.979288
214.25,0.9239
214.5,0.896966
214.75,0.887942
215,0.899786
215.25,0.949888
215.5,0.921337
215.75,0.936948
216,0.952723
216.25,0.972652
216.5,0.959764
216.75,0.917125
217,0.925714
217.25,0.929813
217.5,0.933568
217.75,0.923369
218,0.947538
218.25,0.962312
218.5,0.894709
218.75,0.893838
219,0.969573
219.25,0.950668
219.5,0.961926
219.75,0.897389
220,0.955204
220.25,0.854639
220.5,0.787293
220.75,0.917999
221,0.932735
221.25,0.951852
221.5,0.928495
221.75,0.925308
222,0.941999
222.25,0.925792
222.5,0.9811
222.75,0.861506
223,0.914698
223.25,0.906528
223.5,0.845583
223.75,0.799408
224,0.962142
224.25,0.98707
224.5,0.864688
224.75,0.649482
225,0.955057
225.25,0.936473
225.5,0.904681
225.75,0.924966
226,0.965449
226.25,0.955984
226.5,0.943516
226.75,0.977424
227,0.949203
227.25,0.953705
227.5,0.895598
227.75,0.972287
228,0.978391
228.25,0.977888
228.5,0.953436
228.75,0.943318
229,0.9751
229.25,0.947669
229.5,0.931349
229.75,0.958332
230,0.968396
230.25,0.949469
230.5,0.976477
230.75,0.92385
231,0.938941
231.25,0.899606
231.5,0.942201
231.75,0.989907
232,0.981229
232.25,0.971012
232.5,0.907222
232.75,0.957457
233,0.943072
233.25,0.983193
233.5,0.936136
233.75,0.930738
234,0.842924
234.25,0.958066
234.5,0.966373
234.75,0.970657
235,0.866659
235.25,0.921256
235.5,0.976876
235.75,0.972126
236,0.787655
236.25,0.856918
236.5,0.981684
236.75,0.876051
237,0.964966
237.25,0.959957
237.5,0.970447
237.75,0.942622
238,0.951363
238.25,0.953807
238.5,0.929577
238.75,0.985368
239,0.853478
239.25,0.944374
239.5,0.9429
239.75,0.948362
240,0.972304
240.25,0.98253
240.5,0.969633
240.75,0.975168
241,0.967631
241.25,0.939916
241.5,0.970267
241.75,0.919006
242,0.88537
242.25,0.908536
242.5,0.93783
242.75,0.94836
243,0.771192
243.25,0.949693
243.5,0.933461
243.75,0.91853
244,0.962203
244.25,0.874429
244.5,0.912903
244.75,0.96841
245,0.975993
245.25,0.784033
245.5,0.982792
245.75,0.976743
246,0.817167
246.25,0.946215
246.5,0.99053
246.75,0.937656
247,0.981899
247.25,0.94331
247.5,0.954626
247.75,0.915395
248,0.979165
248.25,0.97823
248.5,0.970036
248.75,0.986074
249,0.987646
249.25,0.87166
249.5,0.949414
249.75,0.938133
250,0.95315
250.25,0.945388
250.5,0.937217
250.75,0.978741
251,0.973579
251.25,0.96197
251.5,0.958678
251.75,0.907965
252,0.972309
252.25,0.93932
252.5,0.921709
252.75,0.955727
253,0.940501
253.25,0.977106
253.5,0.936466
253.75,0.983179
254,0.881723
254.25,0.900162
254.5,0.932905
254.75,0.947522
255,0.908536
255.25,0.964564
255.5,0.960124
255.75,0.939889
256,0.954404
256.25,0.98133
256.5,0.966062
256.75,0.945961
257,0.982361
257.25,0.952407
257.5,0.962488
257.75,0.967557
258,0.985468
258.25,0.957993
258.5,0.944617
258.75,0.891878
259,0.979374
259.25,0.97166
259.5,0.940552
259.75,0.968346
260,0.979486
260.25,0.954898
260.5,0.960931
260.75,0.956963
261,0.924663
261.25,0.873209
261.5,0.937297
261.75,0.974155
262,0.953664
262.25,0.934686
262.5,0.958894
262.75,0.947441
263,0.967256
263.25,0.939527
263.5,0.973798
263.75,0.963197
264,0.967084
264.25,0.959569
264.5,0.936748
264.75,0.974861
265,0.941394
265.25,0.971545
265.5,0.98302
265.75,0.986915
266,0.969815
266.25,0.9738
266.5,0.881492
266.75,0.896274
267,0.994048
267.25,0.952955
267.5,0.975141
267.75,0.986479
268,0.990107
268.25,0.880928
268.5,0.972161
268.75,0.989711
269,0.983286
269.25,0.912425
269.5,0.860566
269.75,0.901509
270,0.982732
270.25,0.898122
270.5,0.902853
270.75,0.970162
271,0.844011
271.25,0.963878
271.5,0.89776
271.75,0.970614
272,0.946759
272.25,0.964826
272.5,0.979042
272.75,0.95974
273,0.977687
273.25,0.973786
273.5,0.944407
273.75,0.981073
274,0.953963
274.25,0.972389
274.5,0.957108
274.75,0.948664
275,0.937614
275.25,0.986823
275.5,0.933927
275.75,0.951237
276,0.904359
276.25,0.879894
276.5,0.982309
276.75,0.962239
277,0.943511
277.25,0.974495
277.5,0.942392
277.75,0.946978
278,0.964565
278.25,0.924991
278.5,0.932414
278.75,0.984159
279,0.935928
279.25,0.952857
279.5,0.980393
279.75,0.962533
280,0.990014
280.25,0.992371
280.5,0.988395
280.75,0.979641
281,0.968764
281.25,0.979793
281.5,0.964812
281.75,0.970187
282,0.985675
282.25,0.958095
282.5,0.972157
282.75,0.788136
283,0.976208
283.25,0.911051
283.5,0.865054
283.75,0.818555
284,0.952066
284.25,0.907342
284.5,0.969343
284.75,0.991128
285,0.965767
285.25,0.976141
285.5,0.934545
285.75,0.987196
286,0.972261
286.25,0.984629
286.5,0.939465
286.75,0.956173
287,0.979931
287.25,0.974839
287.5,0.970608
287.75,0.987709
288,0.958888
288.25,0.963533
288.5,0.970066
288.75,0.892469
289,0.888911
289.25,0.752057
289.5,0.936225
289.75,0.976733
290,0.957426
290.25,0.968366
290.5,0.963515
290.75,0.920495
291,0.955804
291.25,0.944427
291.5,0.91898
291.75,0.924887
292,0.990125
292.25,0.914276
292.5,0.85531
292.75,0.892274
293,0.5976
293.25,0.910431
293.5,0.949857
293.75,0.98307
294,0.967356
294.25,0.962255
294.5,0.981759
294.75,0.970889
295,0.978602
295.25,0.957021
295.5,0.977625
295.75,0.933768
296,0.967881
296.25,0.879879
296.5,0.913885
296.75,0.85769
297,0.942376
297.25,0.900704
297.5,0.90396
297.75,0.995056
298,0.943677
298.25,0.975537
298.5,0.98361
298.75,0.984207
299,0.978912
299.25,0.993049
299.5,0.935291
299.75,0.986132
300,0.898894
300.25,0.941979
300.5,0.933346
300.75,0.926223
301,0.951468
301.25,0.85724
301.5,0.973062
301.75,0.914559
302,0.986162
302.25,0.894586
302.5,0.97849
302.75,0.929202
303,0.981289
303.25,0.976048
303.5,0.995273
303.75,0.949095
304,0.970023
304.25,0.937744
304.5,0.901904
304.75,0.978756
305,0.985674
305.25,0.891584
305.5,0.952411
305.75,0.98904
306,0.907766
306.25,0.935084
306.5,0.957444
306.75,0.916671
307,0.965349
307.25,0.970186
307.5,0.960973
307.75,0.96039
308,0.963747
308.25,0.960737
308.5,0.980451
308.75,0.895197
309,0.92439
309.25,0.958997
309.5,0.96352
309.75,0.982502
310,0.981167
310.25,0.942416
310.5,0.928821
310.75,0.975934
311,0.947314
311.25,0.971164
311.5,0.900737
311.75,0.946267
312,0.933582
312.25,0.960982
312.5,0.92577
312.75,0.967607
313,0.898637
313.25,0.972973
313.5,0.932085
313.75,0.916126
314,0.891418
314.25,0.986461
314.5,0.95664
314.75,0.933065
315,0.95985
315.25,0.978104
315.5,0.919929
315.75,0.910768
316,0.92854
316.25,0.901112
316.5,0.83031
316.75,0.946998
317,0.954956
317.25,0.966849
317.5,0.920995
317.75,0.942897
318,0.975909
318.25,0.941955
318.5,0.900984
318.75,0.933051
319,0.933848
319.25,0.974765
319.5,0.916066
319.75,0.888226
320,0.951043
320.25,0.904457
320.5,0.975432
320.75,0.94072
321,0.911106
321.25,0.918915
321.5,0.907425
321.75,0.953993
322,0.893697
322.25,0.973263
322.5,0.952828
322.75,0.909841
323,0.952194
323.25,0.979142
323.5,0.971422
323.75,0.660469
324,0.916709
324.25,0.942151
324.5,0.957613
324.75,0.923912
325,0.790959
325.25,0.876545
325.5,0.992574
325.75,0.97975
326,0.770018
326.25,0.981865
326.5,0.965292
326.75,0.971658
327,0.967324
327.25,0.925848
327.5,0.947021
327.75,0.983846
328,0.772059
328.25,0.984125
328.5,0.834848
328.75,0.983235
329,0.944747
329.25,0.974644
329.5,0.968014
329.75,0.968536
330,0.979245
330.25,0.957694
330.5,0.964877
330.75,0.966847
331,0.939556
331.25,0.961227
331.5,0.932479
331.75,0.965196
332,0.965698
332.25,0.9048
332.5,0.769946
332.75,0.97802
333,0.975994
333.25,0.987293
333.5,0.92253
333.75,0.927084
334,0.954611
334.25,0.896111
334.5,0.954973
334.75,0.937205
335,0.972926
335.25,0.883286
335.5,0.924189
335.75,0.781936
336,0.927805
336.25,0.913774
336.5,0.982087
336.75,0.864379
337,0.974097
337.25,0.987843
337.5,0.799775
337.75,0.988212
338,0.993128
338.25,0.966455
338.5,0.991543
338.75,0.950373
339,0.975405
339.25,0.965878
339.5,0.979225
339.75,0.968465
340,0.989693
340.25,0.998161
340.5,0.9795
340.75,0.995302
341,0.978833
341.25,0.950868
341.5,0.954885
341.75,0.995066
342,0.899392
342.25,0.811802
342.5,0.950731
342.75,0.957609
343,0.980922
343.25,0.987289
343.5,0.987945
343.75,0.991391
344,0.927479
344.25,0.998064
344.5,0.976425
344.75,0.861622
345,0.673424
345.25,0.878954
345.5,0.901232
345.75,0.986449
346,0.988739
346.25,0.978027
346.5,0.983915
346.75,0.974807
347,0.968919
347.25,0.978133
347.5,0.976029
347.75,0.760267
348,0.992399
348.25,0.988588
348.5,0.997348
348.75,0.881701
349,0.939874
349.25,0.98758
349.5,0.682905
349.75,0.986822
350,0.983777
350.25,0.97898
350.5,0.978613
350.75,0.937842
351,0.966252
351.25,0.921638
351.5,0.965732
351.75,0.949026
352,0.813183
352.25,0.947642
352.5,0.992488
352.75,0.788784
353,0.991763
353.25,0.934913
353.5,0.92649
353.75,0.96846
354,0.967905
354.25,0.964984
354.5,0.990675
354.75,0.954974
355,0.966236
355.25,0.959996
355.5,0.926205
355.75,0.989017
356,0.970684
356.25,0.857025
356.5,0.905758
356.75,0.970506
357,0.996749
357.25,0.884429
357.5,0.985419
357.75,0.988679
358,0.965858
358.25,0.909625
358.5,0.988087
358.75,0.987209
359,0.964475
359.25,0.985021
359.5,0.941541
359.75,0.939296
360,0.975311
360.25,0.946075
360.5,0.975626
360.75,0.792522
361,0.988503
361.25,0.975339
361.5,0.917828
361.75,0.820593
362,0.988553
362.25,0.976941
362.5,0.99358
362.75,0.992678
363,0.985964
363.25,0.955545
363.5,0.977064
363.75,0.981726
364,0.954268
364.25,0.865361
364.5,0.951362
364.75,0.914416
365,0.941298
365.25,0.881388
365.5,0.991728
365.75,0.947091
366,0.976485
366.25,0.978952
366.5,0.958893
366.75,0.976202
367,0.874614
367.25,0.98345
367.5,0.95671
367.75,0.972055
368,0.955437
368.25,0.934919
368.5,0.982513
368.75,0.956285
369,0.988924
369.25,0.981115
369.5,0.992153
369.75,0.99241
370,0.982328
370.25,0.959187
370.5,0.997832
370.75,0.94338
371,0.984764
371.25,0.973338
371.5,0.980236
371.75,0.98283
372,0.993357
372.25,0.989822
372.5,0.983386
372.75,0.993813
373,0.817062
373.25,0.996313
373.5,0.982683
373.75,0.972712
374,0.994254
374.25,0.984004
374.5,0.986191
374.75,0.988921
375,0.998016
375.25,0.984543
375.5,0.858622
375.75,0.995007
376,0.9382
376.25,0.974085
376.5,0.966899
376.75,0.987597
377,0.991378
377.25,0.931019
377.5,0.970438
377.75,0.945774
378,0.961587
378.25,0.971899
378.5,0.891468
378.75,0.981362
379,0.983797
379.25,0.998276
379.5,0.967768
379.75,0.947506
380,0.952407
380.25,0.784614
380.5,0.989112
380.75,0.979544
381,0.962763
381.25,0.980043
381.5,0.960845
381.75,0.954303
382,0.905876
382.25,0.996997
382.5,0.898628
382.75,0.954231
383,0.940682
383.25,0.860046
383.5,0.994488
383.75,0.99372
384,0.990616
384.25,0.973748
384.5,0.907411
384.75,0.911914
385,0.993366
385.25,0.851907
385.5,0.951894
385.75,0.989383
386,0.904723
386.25,0.986711
386.5,0.987575
386.75,0.994659
387,0.972325
387.25,0.9771
387.5,0.98393
387.75,0.966794
388,0.928791
388.25,0.99691
388.5,0.9838
388.75,0.997243
389,0.970451
389.25,0.994126
389.5,0.9912
389.75,0.992865
390,0.99524
390.25,0
390.5,0.99431
390.75,0.913823
391,0.928721
391.25,0.84264
391.5,0.967096
391.75,0.808828
392,0.563691
392.25,0.814608
392.5,0.710728
392.75,0.963314
393,0.992606
393.25,0.998297
393.5,0.657835
393.75,0.971531
394,0.998453
394.25,0.977318
394.5,0.99873
394.75,0.953506
395,0.788723
395.25,0.993484
395.5,0.965031
395.75,0.982479
396,0.962033
396.25,0.48426
396.5,0.852663
396.75,0.905243
397,0.943032
397.25,0.989173
397.5,0.995203
397.75,0.962772
398,0.98867
398.25,0.994823
398.5,0.99587
398.75,0.981261
399,0.771248
399.25,0.995585
399.5,0.97579
399.75,0.984932
400,0.943668
400.25,0
400.5,0.860305
400.75,0.998768
401,0.999178
401.25,0.922833
401.5,0.999996
401.75,0.995269
402,0.948906
402.25,0.994471
402.5,0.995277
402.75,0.136144
403,0.998529
403.25,0.994519
403.5,0.984844
403.75,0.984493
404,0.999196
404.25,0.972184
404.5,0.992508
404.75,0.992762
405,0.587615
405.25,0.959649
405.5,0.91586
405.75,0.979978
406,0.884571
406.25,0.980865
406.5,0.966388
406.75,0.96306
407,0.99359
407.25,0.948324
407.5,0.98568
407.75,0.977046
408,0.87468
408.25,0.333009
408.5,0.997069
408.75,0.310616
409,0.987621
409.25,0.82512
409.5,0.795863
409.75,0.867694
410,0.963284
410.25,0.987559
410.5,0.955676
410.75,0.971753
411,0.922825
411.25,0.999963
411.5,0.944312
411.75,0.965942
412,0.978671
412.25,0
412.5,0.999832
