Time,susceptible_lambda_C
61.75,32.0918
62,31.5749
62.25,31.8034
62.5,33.2284
62.75,34.0131
63,34.2636
63.25,33.9388
63.5,35.7433
63.75,37.2549
64,39.3614
64.25,38.5519
64.5,40.9226
64.75,42.1583
65,44.0383
65.25,44.85
65.5,44.7863
65.75,47.6456
66,48.2332
66.25,46.4399
66.5,44.9926
66.75,46.2549
67,48.8678
67.25,50.3462
67.5,50.2721
67.75,52.389
68,53.4362
68.25,55.1882
68.5,55.838
68.75,56.8813
69,59.8223
69.25,59.4881
69.5,60.711
69.75,56.6117
70,56.9865
70.25,30.0014
70.5,28.5474
70.75,29.0919
71,29.3591
71.25,31.3001
71.5,32.9674
71.75,33.6023
72,32.0535
72.25,32.7895
72.5,32.0744
72.75,33.3142
73,36.239
73.25,35.9078
73.5,38.0728
73.75,37.8364
74,31.5777
74.25,31.5811
74.5,31.9671
74.75,34.9527
75,35.3037
75.25,34.6423
75.5,33.6505
75.75,35.7929
76,35.7056
76.25,36.1588
76.5,39.1604
76.75,38.6542
77,40.9271
77.25,39.322
77.5,36.1313
77.75,31.6452
78,33.2892
78.25,33.4595
78.5,30.4153
78.75,29.8325
79,25.9538
79.25,25.4903
79.5,30.2522
79.75,30.6572
80,31.0098
80.25,32.0177
80.5,34.3657
80.75,34.2743
81,37.0123
81.25,39.2504
81.5,39.801
81.75,40.4154
82,36.8966
82.25,37.0087
82.5,37.2725
82.75,35.7794
83,36.9599
83.25,37.9611
83.5,37.4126
83.75,37.1836
84,36.791
84.25,37.3879
84.5,38.8591
84.75,39.7974
85,38.6169
85.25,38.4577
85.5,37.2235
85.75,36.3291
86,40.1574
86.25,38.8188
86.5,39.7115
86.75,38.609
87,39.1353
87.25,39.037
87.5,36.2169
87.75,36.0238
88,36.5698
88.25,36.0872
88.5,36.4475
88.75,36.8598
89,39.0618
89.25,42.0897
89.5,41.1802
89.75,41.5537
90,42.1309
90.25,40.9684
90.5,39.8189
90.75,35.327
91,34.1474
91.25,35.69
91.5,35.8623
91.75,35.7956
92,37.1787
92.25,36.1159
92.5,37.7234
92.75,36.1624
93,37.8414
93.25,38.2922
93.5,38.4076
93.75,40.2649
94,38.2997
94.25,38.8534
94.5,39.8844
94.75,37.9204
95,37.5403
95.25,35.2754
95.5,35.532
95.75,35.1206
96,36.0666
96.25,35.2411
96.5,37.3369
96.75,37.3394
97,33.3094
97.25,33.1439
97.5,32.2405
97.75,33.6454
98,36.04
98.25,39.5329
98.5,40.5049
98.75,42.239
99,41.4673
99.25,41.7695
99.5,42.3134
99.75,42.3007
100,41.8698
100.25,38.9605
100.5,37.7592
100.75,38.5514
101,38.2607
101.25,39.6643
101.5,41.53
101.75,37.1625
102,38.0877
102.25,46.2278
102.5,45.6204
102.75,36.3195
103,35.4464
103.25,35.8615
103.5,35.2618
103.75,34.7381
104,39.3499
104.25,44.3368
104.5,42.461
104.75,43.1829
105,40.3072
105.25,38.2446
105.5,35.4103
105.75,34.3334
106,29.9
106.25,29.65
106.5,29.1655
106.75,28.8331
107,31.8912
107.25,31.0321
107.5,31.4702
107.75,31.7105
108,33.6584
108.25,33.9515
108.5,34.7229
108.75,34.7647
109,34.0389
109.25,34.5212
109.5,34.5381
109.75,36.3134
110,37.9654
110.25,35.3052
110.5,34.9443
110.75,35.6252
111,35.6958
111.25,34.9281
111.5,36.3888
111.75,36.0843
112,35.107
112.25,31.9234
112.5,33.3685
112.75,33.4448
113,34.1709
113.25,35.4633
113.5,37.098
113.75,34.8658
114,34.0162
114.25,32.3255
114.5,32.0893
114.75,31.6678
115,33.1415
115.25,34.466
115.5,33.5389
115.75,33.69
116,31.5132
116.25,33.0955
116.5,33.1698
116.75,33.5828
117,34.0133
117.25,34.4614
117.5,37.218
117.75,39.1863
118,36.6192
118.25,34.6733
118.5,34.3822
118.75,33.4923
119,34.7576
119.25,36.5427
119.5,44.8383
119.75,45.0672
120,42.3331
120.25,48.1479
120.5,46.3812
120.75,46.2421
121,46.1353
121.25,35.1102
121.5,33.6986
121.75,34.1095
122,34.3446
122.25,35.4965
122.5,37.7989
122.75,33.4662
123,34.1319
123.25,29.9416
123.5,29.3429
123.75,29.1454
124,31.3148
124.25,32.5495
124.5,33.3092
124.75,30.4551
125,28.7584
125.25,30.9578
125.5,29.3145
125.75,32.4643
126,36.6573
126.25,39.7277
126.5,42.4437
126.75,42.9445
127,43.5421
127.25,41.3414
127.5,44.0692
127.75,39.027
128,40.7099
128.25,53.1345
128.5,45.9578
128.75,37.0585
129,37.805
129.25,39.4779
129.5,41.7329
129.75,42.6311
130,44.9399
130.25,43.571
130.5,44.7435
130.75,43.4584
131,40.5055
131.25,41.8653
131.5,35.3713
131.75,35.6903
132,36.2993
132.25,35.0282
132.5,33.4044
132.75,35.4577
133,33.1847
133.25,34.909
133.5,36.0106
133.75,36.4687
134,37.8082
134.25,35.7928
134.5,35.3935
134.75,35.2465
135,34.3418
135.25,37.4118
135.5,38.2421
135.75,35.2676
136,35.7558
136.25,32.5927
136.5,30.3119
136.75,28.396
137,30.475
137.25,30.328
137.5,31.4138
137.75,34.3162
138,33.9408
138.25,34.7704
138.5,34.6325
138.75,34.0848
139,37.852
139.25,38.124
139.5,36.1762
139.75,37.0077
140,34.3786
140.25,34.931
140.5,36.0344
140.75,36.5346
141,36.1696
141.25,36.5625
141.5,35.8629
141.75,36.6264
142,35.8781
142.25,35.3662
142.5,37.4628
142.75,34.5195
143,35.0327
143.25,36.3554
143.5,34.9154
143.75,36.846
144,36.2867
144.25,34.4208
144.5,36.3534
144.75,35.782
145,34.7339
145.25,35.1851
145.5,35.4216
145.75,35.1612
146,35.7856
146.25,35.6579
146.5,34.1446
146.75,34.824
147,38.9691
147.25,36.6686
147.5,40.104
147.75,38.4988
148,38.8376
148.25,40.0081
148.5,38.3098
148.75,37.2963
149,35.8605
149.25,40.8344
149.5,38.5102
149.75,38.0111
150,40.0413
150.25,38.8275
150.5,41.467
150.75,40.4656
151,36.0392
151.25,35.4696
151.5,36.4295
151.75,35.5398
152,35.3441
152.25,34.8113
152.5,35.8376
152.75,36.5626
153,37.1972
153.25,35.3115
153.5,33.8258
153.75,33.6085
154,33.2558
154.25,35.0537
154.5,34.001
154.75,36.6285
155,37.5186
155.25,37.8952
155.5,38.5256
155.75,39.4107
156,40.0392
156.25,40.6037
156.5,41.3729
156.75,38.1657
157,38.9939
157.25,40.0445
157.5,39.9766
157.75,39.4458
158,36.8099
158.25,35.5298
158.5,37.6818
158.75,37.3872
159,35.846
159.25,36.3903
159.5,35.8993
159.75,33.7485
160,34.8976
160.25,32.7711
160.5,32.1164
160.75,32.1019
161,32.7019
161.25,33.3703
161.5,35.631
161.75,34.8879
162,35.1249
162.25,32.7476
162.5,31.0846
162.75,30.4027
163,32.9204
163.25,33.1349
163.5,33.5716
163.75,33.0093
164,34.5124
164.25,34.165
164.5,32.0932
164.75,33.0024
165,32.3736
165.25,29.169
165.5,29.16
165.75,27.836
166,28.4976
166.25,32.3515
166.5,32.4328
166.75,33.5055
167,32.9335
167.25,32.7662
167.5,29.9604
167.75,27.4432
168,28.8672
168.25,27.9911
168.5,29.7339
168.75,29.536
169,30.4392
169.25,32.1332
169.5,31.2659
169.75,32.5083
170,33.9614
170.25,32.7382
170.5,33.5999
170.75,33.7687
171,32.8206
171.25,34.7587
171.5,36.1589
171.75,35.7669
172,37.0959
172.25,35.4435
172.5,36.0617
172.75,35.6424
173,36.9634
173.25,39.1614
173.5,39.8376
173.75,40.4439
174,37.8413
174.25,36.3997
174.5,37.7148
174.75,39.2417
175,38.9124
175.25,38.4047
175.5,39.7812
175.75,36.243
176,33.7687
176.25,35.2245
176.5,32.3078
176.75,34.7264
177,32.7964
177.25,33.2556
177.5,32.6564
177.75,30.7107
178,31.1122
178.25,33.5043
178.5,35.5869
178.75,36.2805
179,32.9545
179.25,33.883
179.5,33.9112
179.75,32.7444
180,34.7967
180.25,33.1142
180.5,33.8246
180.75,32.9704
181,35.2961
181.25,35.5717
181.5,37.0379
181.75,33.9652
182,34.4065
182.25,37.961
182.5,39.2869
182.75,40.1826
183,42.0486
183.25,43.0821
183.5,39.4531
183.75,40.1063
184,38.27
184.25,36.282
184.5,35.2826
184.75,34.6309
185,34.15
185.25,35.122
185.5,36.579
185.75,36.5916
186,38.8791
186.25,38.0842
186.5,39.9868
186.75,35.4937
187,32.6181
187.25,34.4572
187.5,34.7488
187.75,34.0436
188,34.9747
188.25,35.3254
188.5,34.6876
188.75,37.1682
189,37.0297
189.25,35.0241
189.5,38.5724
189.75,38.6401
190,36.223
190.25,35.0373
190.5,32.1487
190.75,30.0706
191,33.2148
191.25,36.806
191.5,38.0914
191.75,39.0813
192,38.213
192.25,36.0761
192.5,38.2221
192.75,36.3535
193,37.2672
193.25,38.1096
193.5,39.9466
193.75,40.8431
194,41.1515
194.25,44.1389
194.5,44.0521
194.75,42.3869
195,41.2185
195.25,38.7288
195.5,38.1671
195.75,33.2913
196,33.656
196.25,34.0883
196.5,35.7549
196.75,37.4973
197,39.8122
197.25,37.4263
197.5,34.2223
197.75,34.2023
198,30.8046
198.25,32.1562
198.5,33.2489
198.75,33.4161
199,31.3307
199.25,31.7267
199.5,28.3252
199.75,28.4961
200,28.7365
200.25,30.1872
200.5,33.9603
200.75,33.4621
201,32.9782
201.25,34.3539
201.5,33.2046
201.75,32.1325
202,32.947
202.25,33.552
202.5,34.4601
202.75,32.399
203,30.6083
203.25,31.0062
203.5,31.3284
203.75,29.79
204,32.202
204.25,31.4903
204.5,31.1519
204.75,33.7997
205,31.8739
205.25,31.8881
205.5,29.2659
205.75,29.6294
206,30.4285
206.25,32.1555
206.5,30.9501
206.75,31.4618
207,30.3272
207.25,30.1258
207.5,31.1836
207.75,32.5908
208,31.7461
208.25,34.1105
208.5,34.7036
208.75,34.987
209,38.1687
209.25,35.1115
209.5,33.1802
209.75,33.7941
210,34.2874
210.25,33.3659
210.5,34.7126
210.75,33.5464
211,33.0831
211.25,35.751
211.5,33.8635
211.75,34.6107
212,35.4239
212.25,32.5442
212.5,34.1886
212.75,34.0851
213,34.6144
213.25,32.5809
213.5,31.9576
213.75,31.3923
214,32.9579
214.25,33.4106
214.5,32.1077
214.75,31.0289
215,34.389
215.25,34.0928
215.5,32.9012
215.75,31.6866
216,33.1984
216.25,33.2546
216.5,33.2226
216.75,32.7227
217,29.7173
217.25,30.4124
217.5,29.9552
217.75,28.361
218,26.7896
218.25,26.9309
218.5,28.8865
218.75,30.8939
219,31.5027
219.25,32.8094
219.5,30.7233
219.75,30.5372
220,30.666
220.25,29.5208
220.5,29.749
220.75,29.6345
221,29.9624
221.25,28.9903
221.5,29.1292
221.75,28.6245
222,28.8829
222.25,29.8719
222.5,31.4921
222.75,28.5763
223,29.8241
223.25,28.9945
223.5,25.6895
223.75,27.8711
224,30.1993
224.25,31.0144
224.5,31.9181
224.75,32.1808
225,30.1484
225.25,29.0185
225.5,27.8047
225.75,26.686
226,27.0517
226.25,28.778
226.5,30.65
226.75,31.3971
227,32.6397
227.25,33.5292
227.5,33.8938
227.75,36.8378
228,37.1133
228.25,36.1596
228.5,33.425
228.75,32.5721
229,29.7118
229.25,27.8111
229.5,27.246
229.75,27.9637
230,27.4206
230.25,27.5424
230.5,26.4818
230.75,26.5038
231,28.2818
231.25,30.0606
231.5,27.3243
231.75,27.4621
232,28.5038
232.25,30.1376
232.5,31.0468
232.75,31.4888
233,31.9289
233.25,32.6459
233.5,32.6568
233.75,34.2783
234,33.5237
234.25,34.6602
234.5,33.574
234.75,30.6936
235,30.0735
235.25,30.2535
235.5,28.3048
235.75,31.2443
236,34.6817
236.25,34.9752
236.5,34.0923
236.75,32.0652
237,28.8073
237.25,27.4751
237.5,27.7681
237.75,29.6794
238,28.0271
238.25,27.0525
238.5,28.1688
238.75,29.558
239,30.4971
239.25,30.8193
239.5,30.7817
239.75,28.9457
240,30.3364
240.25,30.04
240.5,29.551
240.75,28.7247
241,30.0805
241.25,29.8785
241.5,31.1997
241.75,32.9466
242,32.2982
242.25,30.7143
242.5,31.7404
242.75,32.1939
243,30.0017
243.25,27.0833
243.5,28.0739
243.75,29.7545
244,28.4587
244.25,30.2586
244.5,29.7425
244.75,29.5049
245,29.3034
245.25,29.1604
245.5,29.2153
245.75,30.6098
246,30.3618
246.25,30.7128
246.5,32.2924
246.75,33.8397
247,33.7136
247.25,31.9512
247.5,29.6404
247.75,28.9989
248,29.0209
248.25,28.3261
248.5,29.8213
248.75,31.352
249,31.7197
249.25,30.0088
249.5,29.4534
249.75,28.4284
250,28.4944
250.25,29.6283
250.5,29.5795
250.75,30.6795
251,29.657
251.25,27.8976
251.5,27.8548
251.75,28.4014
252,28.533
252.25,25.3042
252.5,27.4569
252.75,26.0161
253,24.9725
253.25,24.2906
253.5,25.1299
253.75,26.9651
254,24.6014
254.25,25.9622
254.5,25.27
254.75,23.2101
255,22.7745
255.25,24.5213
255.5,27.4141
255.75,28.5512
256,28.7787
256.25,28.7843
256.5,26.8673
256.75,27.0751
257,26.1353
257.25,26.1592
257.5,25.3872
257.75,22.9246
258,24.8389
258.25,25.8034
258.5,26.095
258.75,25.0523
259,25.9836
259.25,26.4031
259.5,27.2644
259.75,28.1377
260,29.3058
260.25,26.9869
260.5,27.1546
260.75,28.7453
261,25.0654
261.25,24.6192
261.5,26.4062
261.75,30.7464
262,33.2124
262.25,31.435
262.5,26.1759
262.75,26.1237
263,23.5303
263.25,21.5942
263.5,22.7959
263.75,21.6235
264,22.6256
264.25,21.5032
264.5,20.0273
264.75,19.4029
265,19.6752
265.25,20.9409
265.5,21.448
265.75,21.85
266,21.3688
266.25,22.7334
266.5,21.4574
266.75,21.9888
267,21.9616
267.25,23.7384
267.5,21.63
267.75,20.0874
268,20.851
268.25,21.3449
268.5,19.3401
268.75,20.6961
269,19.234
269.25,17.8031
269.5,20.4824
269.75,21.1584
270,20.3423
270.25,21.5683
270.5,23.5719
270.75,24.8246
271,24.0223
271.25,23.3886
271.5,24.576
271.75,23.3158
272,25.8585
272.25,24.2884
272.5,23.8066
272.75,21.39
273,20.4426
273.25,21.5038
273.5,21.0889
273.75,22.1918
274,23.0456
274.25,21.8698
274.5,24.358
274.75,24.3979
275,24.2928
275.25,23.3151
275.5,24.4796
275.75,23.9034
276,22.8257
276.25,21.9445
276.5,20.9514
276.75,19.9673
277,19.0419
277.25,19.4951
277.5,18.9222
277.75,19.1437
278,17.9211
278.25,17.9578
278.5,18.2883
278.75,18.1986
279,17.751
279.25,18.6881
279.5,17.6682
279.75,15.3495
280,16.9532
280.25,16.8039
280.5,16.4922
280.75,16.3637
281,17.1956
281.25,18.4552
281.5,18.0156
281.75,18.0361
282,17.851
282.25,19.8736
282.5,19.3152
282.75,21.1026
283,20.3323
283.25,18.8016
283.5,19.0852
283.75,20.1078
284,20.1695
284.25,20.3291
284.5,21.0414
284.75,21.0008
285,21.0877
285.25,21.8606
285.5,22.2344
285.75,20.0005
286,18.9636
286.25,18.0771
286.5,18.8217
286.75,19.4632
287,17.7257
287.25,20.1296
287.5,19.087
287.75,21.4969
288,20.6002
288.25,20.4082
288.5,20.6744
288.75,17.9539
289,18.2011
289.25,17.4328
289.5,15.5024
289.75,16.1735
290,17.8001
290.25,17.8996
290.5,17.5971
290.75,17.7575
291,17.7584
291.25,18.144
291.5,17.0664
291.75,16.9065
292,17.7618
292.25,18.764
292.5,17.5931
292.75,16.1019
293,16.0091
293.25,14.9393
293.5,13.6412
293.75,13.6404
294,14.7912
294.25,15.5113
294.5,15.1759
294.75,15.0172
295,16.0386
295.25,18.4091
295.5,18.6395
295.75,18.5923
296,19.0787
296.25,20.1654
296.5,18.553
296.75,17.484
297,17.3386
297.25,16.5102
297.5,17.6062
297.75,17.1785
298,18.3042
298.25,18.4957
298.5,18.4465
298.75,17.5628
299,17.4161
299.25,16.2143
299.5,15.8579
299.75,15.9737
300,13.7847
300.25,14.6573
300.5,16.4961
300.75,16.6205
301,15.9622
301.25,15.0633
301.5,15.3391
301.75,13.9354
302,13.919
302.25,14.5708
302.5,15.184
302.75,15.4578
303,16.078
303.25,17.9576
303.5,17.1551
303.75,15.8677
304,15.0333
304.25,13.5172
304.5,13.8537
304.75,14.7555
305,15.8295
305.25,16.4756
305.5,15.5886
305.75,14.5175
306,13.599
306.25,12.9351
306.5,12.3003
306.75,11.4468
307,12.1359
307.25,12.1135
307.5,12.3697
307.75,12.7604
308,12.2511
308.25,11.4686
308.5,12.2387
308.75,13.0105
309,12.5694
309.25,13.3612
309.5,13.7298
309.75,14.099
310,13.7593
310.25,14.0171
310.5,13.668
310.75,13.7848
311,12.5783
311.25,11.7086
311.5,12.2422
311.75,12.9763
312,14.2816
312.25,14.6458
312.5,15.0056
312.75,15.2394
313,14.2622
313.25,14.3882
313.5,14.8213
313.75,13.8323
314,15.3096
314.25,14.3821
314.5,14.7561
314.75,15.9833
315,15.2441
315.25,14.3741
315.5,14.4379
315.75,13.8063
316,12.4818
316.25,11.9071
316.5,11.5969
316.75,12.4218
317,13.9914
317.25,14.593
317.5,13.299
317.75,16.263
318,15.305
318.25,15.9616
318.5,15.9966
318.75,14.9595
319,16.8073
319.25,18.6579
319.5,19.8587
319.75,18.8523
320,19.1211
320.25,16.5958
320.5,15.5244
320.75,15.0469
321,14.5821
321.25,13.4711
321.5,15.0762
321.75,15.2977
322,14.4461
322.25,15.798
322.5,14.2171
322.75,14.4963
323,15.1259
323.25,15.3201
323.5,14.041
323.75,14.3053
324,13.4583
324.25,13.2488
324.5,13.2462
324.75,11.9094
325,12.6131
325.25,12.5376
325.5,12.207
325.75,12.9694
326,12.0351
326.25,11.7937
326.5,12.0532
326.75,11.9908
327,14.3041
327.25,14.8349
327.5,16.1615
327.75,16.553
328,16.4341
328.25,16.2051
328.5,16.0052
328.75,15.7575
329,15.4581
329.25,16.1631
329.5,17.0927
329.75,16.3972
330,14.9185
330.25,14.8159
330.5,14.8185
330.75,14.7862
331,14.5213
331.25,13.7012
331.5,13.4289
331.75,12.3265
332,12.8199
332.25,12.8741
332.5,14.757
332.75,13.6079
333,11.7656
333.25,13.9571
333.5,14.2539
333.75,14.8302
334,15.4835
334.25,14.0414
334.5,14.53
334.75,13.9628
335,13.2962
335.25,12.3594
335.5,12.7417
335.75,12.9731
336,12.3169
336.25,11.9812
336.5,11.9895
336.75,11.9658
337,13.4799
337.25,13.6256
337.5,14.6547
337.75,15.0446
338,13.6611
338.25,15.6661
338.5,14.7264
338.75,13.6087
339,12.5479
339.25,10.5951
339.5,11.1462
339.75,10.1617
340,9.9666
340.25,9.8506
340.5,11.0503
340.75,12.2909
341,13.38
341.25,13.802
341.5,13.0853
341.75,11.8941
342,12.0871
342.25,12.0927
342.5,12.2024
342.75,11.9665
343,11.5505
343.25,10.2148
343.5,9.48575
343.75,8.9275
344,9.75265
344.25,10.571
344.5,11.7434
344.75,11.7012
345,11.5159
345.25,10.5516
345.5,8.6643
345.75,10.2281
346,9.8182
346.25,10.42
346.5,10.5663
346.75,8.45522
347,9.22653
347.25,9.21634
347.5,10.787
347.75,8.34891
348,8.0096
348.25,7.85865
348.5,6.96078
348.75,7.81736
349,8.24553
349.25,8.53212
349.5,9.67058
349.75,10.7872
350,10.8349
350.25,11.5109
350.5,10.4054
350.75,10.776
351,10.2607
351.25,9.63976
351.5,10.6116
351.75,10.3795
352,8.18565
352.25,9.44887
352.5,10.2601
352.75,10.0018
353,10.9046
353.25,12.9418
353.5,13.2257
353.75,14.2836
354,16.0002
354.25,12.6895
354.5,12.3118
354.75,12.1646
355,11.7449
355.25,11.1511
355.5,10.6563
355.75,9.52716
356,10.3258
356.25,11.4919
356.5,11.6195
356.75,11.6353
357,11.9991
357.25,11.2017
357.5,11.3761
357.75,10.2906
358,10.684
358.25,10.1296
358.5,8.86351
358.75,9.4872
359,9.04848
359.25,9.29018
359.5,8.50662
359.75,8.65769
360,8.93004
360.25,8.77914
360.5,8.72852
360.75,9.25998
361,9.19614
361.25,10.0161
361.5,9.91013
361.75,9.68814
362,10.1362
362.25,9.06536
362.5,9.7481
362.75,10.6817
363,11.3748
363.25,11.3269
363.5,10.2544
363.75,10.3202
364,9.82981
364.25,8.85189
364.5,8.18006
364.75,8.22655
365,7.7569
365.25,7.77181
365.5,7.88221
365.75,8.0749
366,6.95028
366.25,9.11595
366.5,9.98053
366.75,10.4189
367,10.5667
367.25,8.41523
367.5,8.73499
367.75,9.09949
368,7.74209
368.25,7.04241
368.5,7.39281
368.75,7.74429
369,6.87693
369.25,6.99236
369.5,6.98393
369.75,6.95582
370,6.89642
370.25,6.52355
370.5,6.01291
370.75,6.09048
371,6.87819
371.25,7.42922
371.5,7.85246
371.75,8.33199
372,8.82456
372.25,8.68783
372.5,9.49119
372.75,8.06289
373,8.67273
373.25,8.47477
373.5,6.89869
373.75,6.3978
374,6.1688
374.25,6.84768
374.5,6.34751
374.75,9.40707
375,9.76961
375.25,9.31582
375.5,10.9278
375.75,8.06951
376,7.96214
376.25,8.56585
376.5,7.38373
376.75,6.56615
377,6.7911
377.25,5.71616
377.5,5.74482
377.75,6.2526
378,6.55379
378.25,7.36653
378.5,6.57177
378.75,6.2403
379,6.22904
379.25,5.87507
379.5,6.14819
379.75,6.40649
380,5.73709
380.25,5.51871
380.5,5.62227
380.75,6.27024
381,5.96831
381.25,6.02851
381.5,6.09249
381.75,5.65656
382,5.93582
382.25,5.9099
382.5,7.63852
382.75,7.89168
383,7.94767
383.25,7.13568
383.5,6.4139
383.75,6.61331
384,6.2324
384.25,6.38939
384.5,5.79649
384.75,5.77951
385,5.7736
385.25,5.94548
385.5,6.66613
385.75,6.43427
386,6.79619
386.25,6.04337
386.5,5.92121
386.75,5.52446
387,4.76643
387.25,4.88306
387.5,4.87286
387.75,5.21013
388,5.29836
388.25,5.62921
388.5,5.23537
388.75,5.03007
389,4.84743
389.25,4.58237
389.5,4.46066
389.75,4.10624
390,3.48303
390.25,3.79223
390.5,4.35326
390.75,4.58219
391,5.27728
391.25,5.11486
391.5,5.32155
391.75,5.36988
392,5.44953
392.25,5.1766
392.5,4.22759
392.75,4.3574
393,4.40423
393.25,4.38995
393.5,4.65975
393.75,4.61037
394,5.08953
394.25,5.46921
394.5,5.79758
394.75,5.78779
395,6.30655
395.25,7.52285
395.5,7.6681
395.75,6.90877
396,6.79862
396.25,5.58596
396.5,4.32677
396.75,3.73985
397,3.01117
397.25,2.97329
397.5,3.03859
397.75,3.21558
398,3.42415
398.25,3.39419
398.5,3.63303
398.75,2.70368
399,3.61121
399.25,3.92442
399.5,4.96632
399.75,5.18501
400,4.9522
400.25,5.68555
400.5,5.32341
400.75,5.14582
401,4.59052
401.25,4.74296
401.5,4.28789
401.75,3.96795
402,3.99033
402.25,4.59866
402.5,3.85205
402.75,4.26013
403,4.00473
403.25,4.02668
403.5,4.0178
403.75,3.46933
404,2.78243
404.25,2.90607
404.5,2.65254
404.75,3.12772
405,3.04037
405.25,3.9582
405.5,4.05927
405.75,3.84379
406,3.69371
406.25,3.56027
406.5,4.01869
406.75,3.5594
407,3.34253
407.25,3.66359
407.5,2.59953
407.75,3.14344
408,3.02731
408.25,3.19227
408.5,4.31641
408.75,5.31244
409,5.731
409.25,5.74015
409.5,5.48564
409.75,5.49406
410,5.33596
410.25,4.96437
410.5,4.92521
410.75,4.73668
411,3.04431
411.25,2.0149
411.5,2.00035
411.75,1.46427
412,2.03673
412.25,1.80621
412.5,1.51603
412.75,1.54153
413,1.75295
413.25,2.54136
413.5,3.29536
413.75,3.4149
414,3.33464
414.25,2.06746
414.5,2.08989
414.75,2.12641
