Time,susceptible_lambda_W
63,168.163
63.25,167.354
63.5,180.652
63.75,187.82
64,195.28
64.25,192.657
64.5,202.689
64.75,194.622
65,194.326
65.25,197.88
65.5,202.221
65.75,209.757
66,211.368
66.25,201.503
66.5,210.311
66.75,208.023
67,212.691
67.25,222.328
67.5,228.713
67.75,232.07
68,237.231
68.25,236.962
68.5,242.746
68.75,241.588
69,244.445
69.25,231.414
69.5,234.728
69.75,230.371
70,229.055
70.25,100.534
70.5,104.722
70.75,114.771
71,127.428
71.25,126.759
71.5,128.066
71.75,130.412
72,122.845
72.25,125.126
72.5,123.822
72.75,124.785
73,128.247
73.25,120.028
73.5,126.991
73.75,130.911
74,118.629
74.25,124.762
74.5,129.489
74.75,126.479
75,126.691
75.25,132.534
75.5,136.941
75.75,147.882
76,139.379
76.25,136.881
76.5,149.496
76.75,140.652
77,144.84
77.25,131.232
77.5,130.388
77.75,126.865
78,127.564
78.25,129.583
78.5,120.545
78.75,117.882
79,109.286
79.25,111.677
79.5,115.051
79.75,119.8
80,117.992
80.25,130.117
80.5,139.674
80.75,132.194
81,138.665
81.25,148.108
81.5,147.835
81.75,147.733
82,151.911
82.25,146.649
82.5,146.036
82.75,142.565
83,151.023
83.25,143.33
83.5,139.489
83.75,135.504
84,144.581
84.25,147.687
84.5,153.969
84.75,152.733
85,144.536
85.25,143.096
85.5,132.378
85.75,137.376
86,152.633
86.25,155.719
86.5,169.405
86.75,157.921
87,149.047
87.25,151.735
87.5,144.54
87.75,134.1
88,131.518
88.25,126.956
88.5,120.251
88.75,115.101
89,122.125
89.25,130.793
89.5,127.551
89.75,136.713
90,152.302
90.25,146.466
90.5,155.115
90.75,125.5
91,117.815
91.25,117.121
91.5,116.008
91.75,113.695
92,117.038
92.25,114.619
92.5,122.599
92.75,115.676
93,122.152
93.25,126.921
93.5,122.531
93.75,124.606
94,132.941
94.25,139.901
94.5,149.857
94.75,142.429
95,149.569
95.25,124.084
95.5,121.506
95.75,128.139
96,133.325
96.25,131.544
96.5,139.608
96.75,126.446
97,117.734
97.25,115.276
97.5,107.918
97.75,111.476
98,125.381
98.25,141.898
98.5,141.159
98.75,151.733
99,140.369
99.25,137.234
99.5,138.301
99.75,141.397
100,146.504
100.25,139.434
100.5,130.058
100.75,129.277
101,128.822
101.25,132.091
101.5,138.458
101.75,128.784
102,131.236
102.25,142.174
102.5,133.621
102.75,136.568
103,136.679
103.25,142.96
103.5,143.968
103.75,139.107
104,155.001
104.25,159.717
104.5,146.106
104.75,146.016
105,128.068
105.25,126.129
105.5,127.447
105.75,123.047
106,125.582
106.25,128.19
106.5,116.374
106.75,110.489
107,120.779
107.25,108.851
107.5,124.024
107.75,128.37
108,136.569
108.25,140.087
108.5,139.27
108.75,136.386
109,141.842
109.25,149.673
109.5,145.749
109.75,139.374
110,124.03
110.25,115.294
110.5,123.546
110.75,137.354
111,142.835
111.25,129.216
111.5,134.12
111.75,130.485
112,132.162
112.25,135.475
112.5,135.086
112.75,128.118
113,132.925
113.25,132.788
113.5,138.867
113.75,132.552
114,127.214
114.25,127.401
114.5,135.007
114.75,139.174
115,145.439
115.25,145.95
115.5,148.234
115.75,146.477
116,142.548
116.25,144.91
116.5,140.133
116.75,143.494
117,151.928
117.25,162.22
117.5,165.897
117.75,172.571
118,163.334
118.25,150.805
118.5,137.59
118.75,142.838
119,146.844
119.25,160.443
119.5,166.723
119.75,160.233
120,143.518
120.25,138.389
120.5,143.568
120.75,148.005
121,147.549
121.25,140.31
121.5,135.384
121.75,139.379
122,136.283
122.25,141.579
122.5,154.598
122.75,139.683
123,148.804
123.25,132.015
123.5,116.63
123.75,122.493
124,129.554
124.25,138.258
124.5,138.895
124.75,129.105
125,122.904
125.25,125.225
125.5,120.373
125.75,127.627
126,136.872
126.25,146.684
126.5,154.547
126.75,158.452
127,164.736
127.25,159.991
127.5,161.747
127.75,150.658
128,144.18
128.25,150.603
128.5,145.336
128.75,163.023
129,150.549
129.25,154.468
129.5,163.272
129.75,170.028
130,174.323
130.25,176.119
130.5,170.667
130.75,159.484
131,155.38
131.25,168.904
131.5,145.112
131.75,150.04
132,158.846
132.25,140.936
132.5,134.402
132.75,147.179
133,137.034
133.25,141.568
133.5,146.408
133.75,146.042
134,149.681
134.25,148.463
134.5,145.841
134.75,140.518
135,133.605
135.25,141.526
135.5,145.953
135.75,146.837
136,153.668
136.25,149.767
136.5,146.55
136.75,146.968
137,143.404
137.25,141.681
137.5,147.866
137.75,146.036
138,141.03
138.25,146.506
138.5,141.763
138.75,142.227
139,158.472
139.25,167.401
139.5,162.137
139.75,165.37
140,159.453
140.25,164.18
140.5,169.969
140.75,173.735
141,163.059
141.25,151.399
141.5,151.349
141.75,159.025
142,156.575
142.25,160.693
142.5,172.338
142.75,166.349
143,172.083
143.25,181.483
143.5,166.108
143.75,168.92
144,167.095
144.25,156.401
144.5,157.209
144.75,146.071
145,139.625
145.25,149.09
145.5,147.441
145.75,152.688
146,157.041
146.25,152.548
146.5,136.466
146.75,136.351
147,152.674
147.25,153.013
147.5,168.318
147.75,154.094
148,165.355
148.25,170.183
148.5,175.418
148.75,166.326
149,160.879
149.25,172.746
149.5,159.137
149.75,158.09
150,155.781
150.25,157.408
150.5,161.169
150.75,156.581
151,145.353
151.25,150.176
151.5,163.162
151.75,162.024
152,158.531
152.25,153.67
152.5,151.019
152.75,145.486
153,150.068
153.25,148.426
153.5,149.553
153.75,145.503
154,140.735
154.25,147.163
154.5,151.115
154.75,162.043
155,169.298
155.25,169.477
155.5,179.256
155.75,179.366
156,184.165
156.25,183.308
156.5,187.512
156.75,167.41
157,181.962
157.25,174.371
157.5,176.619
157.75,170.044
158,164.506
158.25,165.911
158.5,157.845
158.75,147.718
159,151.379
159.25,148.827
159.5,141.76
159.75,137.678
160,135.464
160.25,129.557
160.5,134.689
160.75,135.789
161,145.622
161.25,156.071
161.5,146.479
161.75,150.56
162,146.68
162.25,120.592
162.5,118.517
162.75,120.107
163,136.251
163.25,145.415
163.5,144.095
163.75,147.04
164,148.273
164.25,147.965
164.5,138.863
164.75,144.462
165,140.305
165.25,123.408
165.5,127.131
165.75,125.083
166,128.175
166.25,137.22
166.5,140.936
166.75,140.719
167,131.267
167.25,131.817
167.5,121.893
167.75,112.852
168,118.922
168.25,118.188
168.5,128.882
168.75,133.52
169,143.467
169.25,147.835
169.5,142.627
169.75,148.1
170,162.964
170.25,163.122
170.5,163.13
170.75,170.729
171,162.902
171.25,168.229
171.5,170.811
171.75,159.742
172,154.31
172.25,144.326
172.5,145.251
172.75,150.051
173,163.246
173.25,167.336
173.5,171.003
173.75,173.957
174,155.348
174.25,147.218
174.5,148.824
174.75,163.762
175,167.082
175.25,169.201
175.5,178.256
175.75,172.32
176,159.597
176.25,163.657
176.5,146.694
176.75,156.992
177,143.671
177.25,150.213
177.5,147.238
177.75,148.818
178,146.515
178.25,159.383
178.5,173.608
178.75,170.197
179,168.381
179.25,174.903
179.5,181.877
179.75,179.421
180,187.803
180.25,179.97
180.5,188.362
180.75,187.26
181,189.95
181.25,177.052
181.5,193.148
181.75,176.335
182,161.261
182.25,170.222
182.5,180.424
182.75,177.438
183,187.679
183.25,195.471
183.5,184.413
183.75,168.462
184,182.925
184.25,168.919
184.5,163.956
184.75,171.533
185,163.955
185.25,169.446
185.5,162.604
185.75,153.269
186,167.346
186.25,154.796
186.5,163.46
186.75,146.216
187,133.528
187.25,142.669
187.5,141.337
187.75,129.872
188,137.477
188.25,138.795
188.5,142.277
188.75,169.094
189,161.896
189.25,150.171
189.5,171.745
189.75,171.967
190,162.814
190.25,151.12
190.5,139.76
190.75,120.525
191,123.88
191.25,143.55
191.5,144.903
191.75,148.467
192,159.754
192.25,145.318
192.5,160.398
192.75,149.633
193,155.213
193.25,154.377
193.5,151.819
193.75,167.715
194,156.766
194.25,170.189
194.5,174.262
194.75,152.511
195,149.312
195.25,145.774
195.5,143.243
195.75,118.59
196,122.041
196.25,133.094
196.5,136.769
196.75,152.661
197,161.238
197.25,144.143
197.5,131.974
197.75,128.961
198,133.743
198.25,142.799
198.5,136.926
198.75,128.021
199,119.019
199.25,118.847
199.5,109.955
199.75,119.465
200,125.66
200.25,138.462
200.5,144.402
200.75,133.758
201,136.863
201.25,129.894
201.5,127.595
201.75,126.975
202,127.535
202.25,142.001
202.5,150.348
202.75,142.098
203,142.697
203.25,138.901
203.5,139.016
203.75,127.769
204,133.955
204.25,137.234
204.5,137.03
204.75,144.865
205,136.351
205.25,132.778
205.5,121.245
205.75,121.87
206,125.309
206.25,138.558
206.5,142.889
206.75,145.899
207,147.386
207.25,143.15
207.5,142.892
207.75,137.128
208,130.521
208.25,142.392
208.5,149.643
208.75,157.159
209,165.153
209.25,157.222
209.5,151.087
209.75,160.421
210,160.163
210.25,146.901
210.5,152.89
210.75,153.818
211,150.319
211.25,160.192
211.5,153.549
211.75,155.69
212,147.846
212.25,141.053
212.5,141.731
212.75,140.66
213,137.722
213.25,130.263
213.5,119.649
213.75,121.909
214,136.188
214.25,139.182
214.5,134.816
214.75,130.643
215,142.791
215.25,137.959
215.5,133.474
215.75,125.08
216,131.841
216.25,136.297
216.5,134.98
216.75,131.372
217,125.028
217.25,119.826
217.5,129.393
217.75,123.431
218,127.265
218.25,121.413
218.5,130.64
218.75,141.096
219,145.902
219.25,137.913
219.5,142.607
219.75,139.913
220,130.478
220.25,126.992
220.5,129.713
220.75,130.062
221,135.574
221.25,130.731
221.5,142.827
221.75,130.763
222,129.816
222.25,137.884
222.5,140.348
222.75,131.687
223,127.403
223.25,126.27
223.5,113.932
223.75,121.463
224,134.644
224.25,135.706
224.5,126.813
224.75,127.969
225,118.844
225.25,118.179
225.5,120.151
225.75,109.017
226,110.034
226.25,125.055
226.5,127.908
226.75,136.113
227,130.053
227.25,125.556
227.5,117.588
227.75,130.169
228,136.177
228.25,136.424
228.5,130.831
228.75,135.145
229,126.135
229.25,115.867
229.5,115.878
229.75,114.985
230,119.013
230.25,119.178
230.5,117.997
230.75,118.703
231,121.162
231.25,126.201
231.5,109.024
231.75,112.431
232,109.185
232.25,116.842
232.5,128.655
232.75,124.886
233,115.509
233.25,113.279
233.5,119.252
233.75,123.655
234,116.955
234.25,122.675
234.5,123.249
234.75,109.342
235,113.95
235.25,113.052
235.5,95.2696
235.75,105.716
236,115.028
236.25,124.061
236.5,129.348
236.75,124.478
237,115.848
237.25,118.47
237.5,114.454
237.75,110.058
238,110.595
238.25,111.816
238.5,109.511
238.75,118.312
239,120.261
239.25,113.878
239.5,120.088
239.75,108.939
240,116.493
240.25,122.767
240.5,124.32
240.75,116.677
241,123.532
241.25,122.292
241.5,124.548
241.75,125.882
242,119.024
242.25,110.361
242.5,106.548
242.75,108.694
243,105.608
243.25,95.9026
243.5,102.703
243.75,108.949
244,102.016
244.25,106.666
244.5,105.805
244.75,103.357
245,104.341
245.25,99.7747
245.5,105.027
245.75,106.644
246,100.809
246.25,100.424
246.5,104.035
246.75,104.61
247,111.762
247.25,99.5738
247.5,92.0785
247.75,82.8838
248,87.3901
248.25,94.8531
248.5,114.857
248.75,124.755
249,125.062
249.25,119.527
249.5,108.488
249.75,107.248
250,107.859
250.25,114.381
250.5,109.223
250.75,103.934
251,104.317
251.25,96.2077
251.5,98.2909
251.75,99.5274
252,102.844
252.25,102.6
252.5,116.439
252.75,111.989
253,106.09
253.25,109.215
253.5,108.532
253.75,116.582
254,104.415
254.25,105.718
254.5,101.483
254.75,100.925
255,102.12
255.25,112.908
255.5,119.011
255.75,118.351
256,123.43
256.25,124.594
256.5,105.623
256.75,118.906
257,117.81
257.25,124.8
257.5,123.356
257.75,102.854
258,108.014
258.25,103.289
258.5,100.476
258.75,106.842
259,105.554
259.25,105.849
259.5,107.732
259.75,111.406
260,115.337
260.25,112.43
260.5,118.425
260.75,122.682
261,106.063
261.25,100.27
261.5,102.431
261.75,102.062
262,108.002
262.25,106.705
262.5,98.1897
262.75,96.5823
263,93.4356
263.25,89.6977
263.5,100.335
263.75,95.9893
264,89.9227
264.25,86.469
264.5,83.0473
264.75,81.6799
265,85.5635
265.25,91.8897
265.5,90.6138
265.75,91.1628
266,87.037
266.25,92.2833
266.5,86.9306
266.75,88.8505
267,80.5356
267.25,88.1739
267.5,84.8323
267.75,83.5228
268,90.0129
268.25,87.9415
268.5,76.8276
268.75,88.6159
269,86.3269
269.25,76.2424
269.5,88.3159
269.75,91.7318
270,95.1319
270.25,98.2169
270.5,108.779
270.75,108.599
271,112.25
271.25,117.028
271.5,108.243
271.75,111.134
272,117.164
272.25,95.7376
272.5,103.637
272.75,92.9085
273,90.7187
273.25,97.2122
273.5,91.7698
273.75,91.0506
274,95.6391
274.25,92.4034
274.5,94.5532
274.75,100.472
275,97.4063
275.25,91.3794
275.5,102.291
275.75,93.4166
276,93.2121
276.25,98.5241
276.5,99.406
276.75,91.9893
277,83.9377
277.25,82.1735
277.5,82.8523
277.75,82.1097
278,76.0325
278.25,75.5263
278.5,79.4631
278.75,83.5493
279,79.3689
279.25,85.8906
279.5,82.4882
279.75,77.994
280,83.6792
280.25,80.0029
280.5,77.7627
280.75,74.9149
281,81.2919
281.25,83.4225
281.5,77.5779
281.75,78.4004
282,79.086
282.25,90.1115
282.5,88.2513
282.75,96.1872
283,93.7037
283.25,98.4752
283.5,95.3186
283.75,101.541
284,103.474
284.25,102.188
284.5,103.306
284.75,100.766
285,98.5341
285.25,97.9065
285.5,99.0022
285.75,91.268
286,85.7673
286.25,80.8526
286.5,79.0413
286.75,84.3644
287,71.1561
287.25,81.5723
287.5,77.4489
287.75,83.2809
288,78.4691
288.25,78.5391
288.5,85.1477
288.75,74.6871
289,77.9355
289.25,76.5599
289.5,65.4586
289.75,68.3922
290,73.4468
290.25,73.7211
290.5,72.5333
290.75,67.7313
291,66.2456
291.25,68.886
291.5,64.5564
291.75,66.8675
292,74.7822
292.25,79.892
292.5,76.8613
292.75,69.9067
293,66.6468
293.25,60.4069
293.5,48.9248
293.75,49.445
294,50.6701
294.25,51.8637
294.5,54.7399
294.75,56.0311
295,61.7237
295.25,72.4936
295.5,69.4358
295.75,69.936
296,76.6857
296.25,81.9316
296.5,60.6438
296.75,57.5946
297,55.9737
297.25,52.353
297.5,48.7932
297.75,47.9757
298,51.6807
298.25,48.6851
298.5,52.5186
298.75,51.427
299,50.9359
299.25,50.843
299.5,49.954
299.75,51.9944
300,45.1574
300.25,54.2604
300.5,64.8911
300.75,72.3442
301,72.8856
301.25,67.2938
301.5,63.7511
301.75,47.9694
302,44.3622
302.25,45.2131
302.5,44.7996
302.75,48.0082
303,58.4401
303.25,63.8848
303.5,65.9454
303.75,69.9067
304,67.7532
304.25,60.8017
304.5,64.8336
304.75,59.2984
305,60.6856
305.25,64.3981
305.5,62.8112
305.75,52.4498
306,49.254
306.25,49.5848
306.5,49.7588
306.75,44.456
307,49.0565
307.25,49.4942
307.5,48.6307
307.75,51.1077
308,49.9776
308.25,44.8698
308.5,54.9517
308.75,64.7505
309,63.6862
309.25,64.275
309.5,66.2189
309.75,70.4758
310,66.2939
310.25,69.6041
310.5,70.2292
310.75,64.5
311,56.5463
311.25,53.2269
311.5,59.1468
311.75,67.2924
312,69.4276
312.25,77.9741
312.5,76.5649
312.75,73.6155
313,67.4363
313.25,70.2267
313.5,70.5168
313.75,64.9215
314,67.654
314.25,66.2127
314.5,70.7234
314.75,81.7355
315,78.5413
315.25,76.3796
315.5,75.5313
315.75,72.6626
316,62.9334
316.25,60.444
316.5,59.9057
316.75,66.9726
317,71.2025
317.25,71.7507
317.5,65.7204
317.75,71.7532
318,69.3384
318.25,74.3619
318.5,68.4951
318.75,65.202
319,68.1899
319.25,71.2325
319.5,75.0235
319.75,79.481
320,83.2697
320.25,74.1343
320.5,66.9345
320.75,53.86
321,51.9626
321.25,49.9964
321.5,60.4107
321.75,56.9145
322,55.4208
322.25,60.1694
322.5,51.1861
322.75,56.2318
323,54.522
323.25,56.8875
323.5,52.3198
323.75,52.3342
324,56.2079
324.25,56.6968
324.5,53.397
324.75,44.5224
325,49.2171
325.25,47.4215
325.5,53.6054
325.75,54.8255
326,51.0488
326.25,53.2704
326.5,58.6253
326.75,57.6149
327,62.9278
327.25,64.3733
327.5,62.6455
327.75,60.0487
328,50.6807
328.25,49.2358
328.5,49.7422
328.75,52.9307
329,54.5836
329.25,56.7979
329.5,59.1372
329.75,57.2557
330,49.5322
330.25,53.4944
330.5,53.8395
330.75,55.7117
331,54.6176
331.25,47.3574
331.5,42.6542
331.75,42.6802
332,50.2381
332.25,55.781
332.5,60.4771
332.75,58.6935
333,49.8346
333.25,61.8126
333.5,60.9528
333.75,56.2689
334,55.0711
334.25,46.1803
334.5,45.8692
334.75,38.4731
335,36.4792
335.25,34.5081
335.5,42.1875
335.75,47.7962
336,46.5264
336.25,47.3959
336.5,48.842
336.75,46.6628
337,48.9089
337.25,46.3663
337.5,47.0385
337.75,48.4616
338,48.0704
338.25,54.7095
338.5,56.8961
338.75,56.523
339,46.6097
339.25,30.6092
339.5,31.8368
339.75,26.2232
340,26.6174
340.25,25.8734
340.5,31.9954
340.75,40.9548
341,42.1629
341.25,38.9971
341.5,36.783
341.75,34.4777
342,42.2809
342.25,43.6792
342.5,43.9884
342.75,46.025
343,41.7664
343.25,36.1693
343.5,33.4591
343.75,28.3836
344,31.4036
344.25,32.8937
344.5,38.785
344.75,36.9513
345,40.1184
345.25,39.4793
345.5,30.9437
345.75,36.1144
346,35.4732
346.25,42.2292
346.5,40.2618
346.75,31.1444
347,32.6298
347.25,32.7614
347.5,37.4161
347.75,35.0989
348,37.5174
348.25,37.892
348.5,32.0684
348.75,38.167
349,40.5678
349.25,37.8505
349.5,41.0033
349.75,44.9935
350,49.1862
350.25,54.7154
350.5,51.0427
350.75,52.3099
351,50.7412
351.25,50.1314
351.5,56.6276
351.75,56.5494
352,41.1925
352.25,42.0676
352.5,40.4322
352.75,41.6916
353,45.1477
353.25,52.2592
353.5,51.4867
353.75,56.93
354,58.3184
354.25,50.5082
354.5,50.294
354.75,45.1633
355,43.1444
355.25,41.1598
355.5,40.5118
355.75,36.1394
356,40.5511
356.25,42.9001
356.5,42.422
356.75,46.7639
357,47.5346
357.25,45.5422
357.5,42.9112
357.75,38.6463
358,40.4661
358.25,39.9046
358.5,40.5786
358.75,42.8887
359,43.8542
359.25,44.0892
359.5,40.8834
359.75,45.9185
360,47.4394
360.25,46.1013
360.5,43.7549
360.75,41.0559
361,39.8475
361.25,33.994
361.5,33.5666
361.75,30.4728
362,29.8632
362.25,32.088
362.5,41.6175
362.75,44.2696
363,46.4152
363.25,46.7626
363.5,43.5362
363.75,45.3628
364,47.1521
364.25,39.5252
364.5,38.5188
364.75,37.0982
365,30.7791
365.25,29.9777
365.5,30.3171
365.75,30.7485
366,26.1293
366.25,34.7644
366.5,39.054
366.75,40.7709
367,41.3268
367.25,31.2887
367.5,30.1479
367.75,29.2361
368,30.1061
368.25,27.0702
368.5,31.1687
368.75,30.4314
369,29.3667
369.25,33.2939
369.5,33.413
369.75,31.7613
370,31.8735
370.25,26.545
370.5,22.1288
370.75,23.2933
371,26.5288
371.25,32.6424
371.5,32.5211
371.75,34.9196
372,37.4687
372.25,34.8928
372.5,36.5834
372.75,33.1595
373,37.9617
373.25,33.2471
373.5,22.792
373.75,22.7343
374,21.2906
374.25,21.9538
374.5,22.114
374.75,22.8269
375,42.0453
375.25,41.8033
375.5,48.1877
375.75,40.7024
376,39.3644
376.25,39.7087
376.5,35.6043
376.75,26.6426
377,28.2393
377.25,28.8615
377.5,31.4935
377.75,32.5046
378,33.2024
378.25,36.784
378.5,32.38
378.75,31.0902
379,30.2408
379.25,28.0707
379.5,28.9357
379.75,28.1842
380,25.9063
380.25,24.4137
380.5,28.1722
380.75,29.9201
381,23.3791
381.25,21.8408
381.5,20.7127
381.75,21.2287
382,21.5552
382.25,22.7312
382.5,25.7856
382.75,27.1063
383,27.7858
383.25,23.8511
383.5,22.1526
383.75,30.1596
384,29.6777
384.25,29.1895
384.5,27.646
384.75,26.111
385,26.4941
385.25,25.607
385.5,24.1069
385.75,26.8714
386,30.4292
386.25,28.1542
386.5,24.603
386.75,24.7271
387,20.0796
387.25,17.9423
387.5,19.2784
387.75,19.2769
388,18.0778
388.25,22.0751
388.5,21.6805
388.75,22.3877
389,23.2992
389.25,22.6734
389.5,22.1416
389.75,20.9693
390,16.0656
390.25,21.0972
390.5,26.6367
390.75,24.3602
391,25.1202
391.25,19.5561
391.5,21.199
391.75,21.4709
392,22.8496
392.25,20.8729
392.5,18.0401
392.75,16.5089
393,18.5982
393.25,18.2231
393.5,19.3424
393.75,18.4003
394,20.5538
394.25,23.3963
394.5,25.2454
394.75,23.5904
395,24.2468
395.25,26.6941
395.5,27.2953
395.75,22.8664
396,23.6532
396.25,17.5826
396.5,14.1676
396.75,13.121
397,10.2968
397.25,10.1583
397.5,11.299
397.75,12.0761
398,14.9179
398.25,12.1576
398.5,11.5448
398.75,10.0975
399,13.132
399.25,13.1197
399.5,14.2395
399.75,15.7356
400,12.9656
400.25,14.5321
400.5,13.2116
400.75,13.3044
401,12.7835
401.25,12.5126
401.5,12.5027
401.75,12.187
402,12.5783
402.25,17.6778
402.5,13.8472
402.75,15.5875
403,13.7499
403.25,14.5694
403.5,15.9948
403.75,16.6536
404,14.7282
404.25,15.1507
404.5,15.2906
404.75,16.43
405,14.0626
405.25,16.256
405.5,17.0205
405.75,17.0876
406,15.979
406.25,15.5118
406.5,17.6733
406.75,15.9653
407,16.9946
407.25,18.8355
407.5,11.711
407.75,11.429
408,10.7651
408.25,11.9714
408.5,14.0019
408.75,16.4029
409,19.3648
409.25,18.7213
409.5,21.3794
409.75,21.7957
410,22.2697
410.25,23.6421
410.5,23.2773
410.75,20.8125
411,14.5613
411.25,10.0886
411.5,7.7283
411.75,6.79865
412,9.24101
412.25,8.35318
412.5,8.04931
412.75,8.00263
413,8.9521
413.25,10.2898
413.5,13.7437
413.75,15.2492
414,14.9243
414.25,14.9089
414.5,15.1107
414.75,15.3866
415,15.2995
415.25,14.6138
415.5,14.176
415.75,13.1999
416,12.4288
416.25,11.4106
416.5,14.5224
416.75,14.1971
417,13.1455
417.25,12.8879
417.5,12.2384
417.75,15.8705
418,20.2767
418.25,20.7415
418.5,21.4901
418.75,18.9953
419,22.4445
419.25,21.6502
419.5,21.6422
419.75,19.4274
420,10.137
420.25,11.6734
420.5,14.698
420.75,11.8334
421,12.2962
421.25,14.4291
421.5,14.9114
421.75,13.9391
422,12.9521
422.25,13.1273
422.5,13.5682
422.75,10.073
423,9.34549
423.25,9.30505
423.5,11.4314
423.75,11.3785
424,11.9632
424.25,11.9891
424.5,12.4715
424.75,9.31069
425,9.73093
425.25,11.256
425.5,8.57221
425.75,9.73335
426,14.4284
426.25,14.0913
426.5,14.6011
426.75,17.7056
427,15.1242
427.25,15.2772
427.5,15.5432
427.75,12.8299
428,10.9903
428.25,6.287
428.5,8.05036
428.75,9.49908
429,11.9141
429.25,13.9945
429.5,14.2782
429.75,10.3551
430,10.6518
430.25,12.0042
430.5,9.78758
430.75,11.0575
431,11.5801
431.25,13.7524
431.5,12.9894
431.75,11.2313
432,9.69113
432.25,7.19581
432.5,6.06764
432.75,6.72415
433,7.78117
433.25,9.80423
433.5,10.1578
433.75,10.3702
434,9.58486
434.25,8.33348
434.5,5.94785
434.75,4.3271
435,4.3429
435.25,8.00394
435.5,8.17501
435.75,11.0976
436,11.0546
436.25,16.7279
436.5,17.2565
436.75,18.7254
437,15.7366
437.25,11.7619
437.5,11.7168
437.75,10.7705
438,12.944
