Time,susceptible_lambda_H
62,72.7478
62.25,72.3163
62.5,85.6659
62.75,95.8464
63,91.0265
63.25,89.8199
63.5,100.139
63.75,108.658
64,106.259
64.25,113.097
64.5,108.152
64.75,99.4333
65,112.66
65.25,114.397
65.5,117.192
65.75,119.763
66,113.879
66.25,96.6653
66.5,92.9206
66.75,101.233
67,119.686
67.25,125.746
67.5,128.946
67.75,112.395
68,122.022
68.25,123.973
68.5,129.529
68.75,137.274
69,141.437
69.25,123.84
69.5,134.111
69.75,131.17
70,115.112
70.25,100.758
70.5,107.639
70.75,103.044
71,118.821
71.25,116.668
71.5,130.83
71.75,139.814
72,139.692
72.25,130.064
72.5,150.427
72.75,126.015
73,131.044
73.25,120.075
73.5,123.377
73.75,144.583
74,125.739
74.25,119.032
74.5,110.799
74.75,122.197
75,121.126
75.25,120.837
75.5,149.502
75.75,131.274
76,106.071
76.25,98.0385
76.5,108.748
76.75,123.337
77,117.137
77.25,113.91
77.5,101.782
77.75,115.931
78,96.5505
78.25,100.318
78.5,101.824
78.75,84.5186
79,93.9885
79.25,73.4881
79.5,71.1232
79.75,65.485
80,70.986
80.25,73.6039
80.5,65.7666
80.75,61.2006
81,72.2402
81.25,72.9484
81.5,64.995
81.75,67.8277
82,61.0859
82.25,76.6402
82.5,67.8646
82.75,56.5677
83,66.7815
83.25,60.0624
83.5,57.7241
83.75,54.4475
84,60.3713
84.25,61.9013
84.5,53.6325
84.75,51.3516
85,49.2087
85.25,48.8614
85.5,57.7288
85.75,50.6614
86,50.3851
86.25,55.2455
86.5,50.7124
86.75,41.5475
87,41.4983
87.25,41.2014
87.5,38.8488
87.75,37.6185
88,37.4815
88.25,42.276
88.5,37.5953
88.75,45.9104
89,37.3556
89.25,42.8948
89.5,36.1844
89.75,32.7298
90,29.0117
90.25,29.3191
90.5,31.1166
90.75,31.9331
91,35.5397
91.25,48.7315
91.5,40.1234
91.75,42.3272
92,40.5569
92.25,42.1482
92.5,37.2581
92.75,29.8835
93,26.8664
93.25,27.733
93.5,30.7405
93.75,26.1615
94,29.0223
94.25,24.7127
94.5,24.2902
94.75,28.3763
95,22.5672
95.25,26.4292
95.5,26.7124
95.75,28.5244
96,27.4097
96.25,22.3659
96.5,21.3434
96.75,19.0393
97,19.7885
97.25,15.0584
97.5,14.9531
97.75,17.813
98,16.9346
98.25,25.9765
98.5,25.8726
98.75,27.5426
99,30.1502
99.25,26.4036
99.5,22.5484
99.75,20.2051
100,22.0969
100.25,17.268
100.5,17.7885
100.75,32.123
101,20.2399
101.25,24.9291
101.5,17.8373
101.75,20.5999
102,20.1489
102.25,17.6457
102.5,27.448
102.75,34.5131
103,25.4588
103.25,25.1475
103.5,22.8529
103.75,14.8527
104,12.5463
104.25,11.1752
104.5,19.3584
104.75,16.4106
105,18.7262
105.25,12.3624
105.5,16.3959
105.75,15.5323
106,16.4233
106.25,16.5378
106.5,28.0217
106.75,27.7286
107,24.2134
107.25,19.3964
107.5,20.4563
107.75,21.1044
108,26.4263
108.25,29.1818
108.5,29.1679
108.75,24.0413
109,22.7186
109.25,19.5835
109.5,19.7972
109.75,17.4481
110,21.2659
110.25,19.4921
110.5,20.293
110.75,12.2926
111,14.7753
111.25,20.9022
111.5,19.8052
111.75,17.9109
112,16.1369
112.25,16.1671
112.5,14.0108
112.75,13.2974
113,12.8676
113.25,11.4404
113.5,14.7304
113.75,14.8767
114,13.8179
114.25,11.6728
114.5,9.71832
114.75,10.7737
115,10.2403
115.25,20.1504
115.5,20.8421
115.75,26.7042
116,22.6765
116.25,19.604
116.5,15.5163
116.75,18.523
117,16.9576
117.25,16.2448
117.5,17.8051
117.75,21.6799
118,20.4464
118.25,17.5422
118.5,13.8733
118.75,21.4774
119,19.6992
119.25,16.8139
119.5,19.1326
119.75,11.8028
120,12.6083
120.25,12.3988
120.5,12.8651
120.75,14.4419
121,14.436
121.25,12.4928
121.5,11.1471
121.75,15.4236
122,23.0081
122.25,24.4895
122.5,14.6802
122.75,13.4418
123,10.8429
123.25,19.2314
123.5,13.5254
123.75,13.1698
124,16.6161
124.25,17.5456
124.5,16.2832
124.75,15.4625
125,13.6328
125.25,10.824
125.5,10.7467
125.75,10.0587
126,7.9249
126.25,9.12136
126.5,7.07456
126.75,6.54493
127,15.7414
127.25,17.0108
127.5,22.133
127.75,21.9893
128,19.8157
128.25,18.4523
128.5,18.9051
128.75,18.0724
129,9.8999
129.25,10.4435
129.5,12.1233
129.75,9.62256
130,8.31517
130.25,5.24335
130.5,6.65231
130.75,4.47579
131,4.25982
131.25,13.5002
131.5,8.34654
131.75,3.70704
132,8.63339
132.25,7.5609
132.5,6.47117
132.75,5.47284
133,12.0729
133.25,7.4847
133.5,7.41853
133.75,13.7527
134,9.36434
134.25,4.98352
134.5,9.9595
134.75,10.4786
135,12.3609
135.25,17.6347
135.5,14.7569
135.75,12.8614
136,5.32598
136.25,3.77691
136.5,3.34563
136.75,4.18225
137,4.12628
137.25,3.99816
137.5,3.31392
137.75,3.07664
138,3.04557
138.25,4.16041
138.5,4.27995
138.75,5.05918
139,4.86519
139.25,3.78274
139.5,5.37559
139.75,8.26689
140,7.11786
140.25,5.01594
140.5,1.51699
140.75,1.18559
141,1.48012
141.25,1.47625
141.5,1.57685
141.75,1.50287
142,3.73132
142.25,3.6955
142.5,3.64691
142.75,3.3609
143,3.19268
143.25,2.87815
143.5,3.4261
143.75,2.68336
144,11.4997
144.25,9.93073
144.5,12.4427
144.75,7.93291
145,3.68411
145.25,2.45609
145.5,1.32869
145.75,7.12922
146,6.00753
146.25,4.2788
146.5,2.72258
146.75,2.30125
147,0.585447
147.25,0.513529
147.5,1.46487
147.75,2.06018
148,1.3247
148.25,1.31842
148.5,1.12472
148.75,2.11867
149,2.10639
149.25,2.53518
149.5,2.53182
149.75,0.567015
150,0.567384
150.25,0.476725
150.5,0.406427
150.75,0.748085
151,0.537188
151.25,0.619618
151.5,0.446443
151.75,0.453947
152,0.422478
152.25,0.412051
152.5,0.357577
152.75,0.287993
153,0.621746
153.25,0.706588
153.5,0.718369
153.75,0.649146
154,2.387
154.25,2.23501
154.5,1.21209
154.75,1.18588
155,1.01711
155.25,0.890539
155.5,0.393939
155.75,0.428464
156,0.364592
156.25,0.691693
156.5,0.769452
156.75,0.769452
157,1.00882
157.25,0.776112
157.5,0.659309
157.75,2.4492
158,2.14122
158.25,2.02874
158.5,1.6512
158.75,1.61022
159,1.61022
159.25,1.36076
159.5,1.36072
159.75,3.86393
160,4.16365
160.25,4.81338
160.5,4.72346
160.75,3.54214
161,2.18386
161.25,1.94358
161.5,2.04631
161.75,2.04631
162,2.02368
162.25,1.0286
162.5,0.916777
162.75,0.916777
163,0.829072
163.25,3.92163
163.5,4.31237
163.75,5.82812
164,5.90627
164.25,4.35434
164.5,3.58087
164.75,2.31749
165,1.66172
165.25,1.66172
165.5,0.956069
165.75,0.085915
166,0.085915
166.25,0.085915
166.5,0.141316
166.75,0.141316
167,0.195961
167.25,0.803973
167.5,0.195961
167.75,0.104147
168,0.0910329
168.25,0.10043
168.5,0.08724
168.75,0.0872161
169,0.251839
169.25,0.251839
169.5,0.252044
169.75,0.252044
170,3.11604
170.25,4.6302
170.5,4.63008
170.75,4.63008
171,2.48209
171.25,1.94509
171.5,1.13959
171.75,1.09284
172,1.09284
172.25,1.77267
172.5,1.77267
172.75,1.77267
173,1.77314
173.25,1.9091
173.5,1.9852
173.75,1.9852
174,1.81946
174.25,1.55178
174.5,1.39672
174.75,1.34988
175,1.30686
175.25,1.06467
175.5,1.06704
175.75,1.14668
176,2.19693
176.25,2.14532
176.5,1.1129
176.75,1.12462
177,1.13065
177.25,1.16697
177.5,1.14938
177.75,1.14938
178,0.0900908
178.25,0.0675681
178.5,0.0675681
178.75,0.0675681
179,0.0675681
179.25,0.0675681
179.5,0.0675681
179.75,0.0675681
180,0
180.25,0
180.5,0
180.75,0
181,0
181.25,0
181.5,0
181.75,0
182,0
182.25,0
182.5,0
182.75,0
183,0
183.25,0
183.5,0
183.75,0
184,0
184.25,0
184.5,0
184.75,0
185,0
185.25,0
185.5,0
185.75,0
186,0
186.25,0
186.5,0
186.75,0
187,0
187.25,0
187.5,0
187.75,0
188,0
188.25,0
188.5,0
188.75,0
189,0
189.25,0
189.5,0
189.75,0
190,0
190.25,0
190.5,0
190.75,0
191,0
191.25,0
191.5,0
191.75,0
192,0
192.25,0
192.5,0
192.75,0
193,0
193.25,0
193.5,0
193.75,0
194,0
194.25,0
194.5,0
194.75,0
195,0
195.25,0
195.5,0
195.75,0
196,0
196.25,0
196.5,0
196.75,0
197,0
197.25,0
197.5,0
197.75,0
198,0
198.25,0
198.5,0
198.75,0
199,0
199.25,0
199.5,0
199.75,0
200,0
200.25,0
200.5,0
200.75,0
201,0
201.25,0
201.5,0
201.75,0
202,0
202.25,0
202.5,0
202.75,0
203,0
203.25,0
203.5,0
203.75,0
204,0
204.25,0
204.5,0
204.75,0
205,0
205.25,0
205.5,0
205.75,0
206,0
206.25,0
206.5,0
206.75,0
207,0
207.25,0
207.5,0
207.75,0
208,0
208.25,0
208.5,0
208.75,0
209,0
209.25,0
209.5,0
209.75,0
210,0
210.25,0
210.5,0
210.75,0
211,0
211.25,0
211.5,0
211.75,0
212,0
212.25,0
212.5,0
212.75,0
213,0
213.25,0
213.5,0
213.75,0
214,0
214.25,0
214.5,0
214.75,0
215,0
215.25,0
215.5,0
215.75,0
216,0
216.25,0
216.5,0
216.75,0
217,0
217.25,0
217.5,0
217.75,0
218,0
218.25,0
218.5,0
218.75,0
219,0
219.25,0
219.5,0
219.75,0
220,0
220.25,0
220.5,0
220.75,0
221,0
221.25,0
221.5,0
221.75,0
222,0
222.25,0
222.5,0
222.75,0
223,0
223.25,0
223.5,0
223.75,0
224,0
224.25,0
224.5,0
224.75,0
225,0
225.25,0
225.5,0
225.75,0
226,0
226.25,0
226.5,0
226.75,0
227,0
227.25,0
227.5,0
227.75,0
228,0
228.25,0
228.5,0
228.75,0
229,0
229.25,0
229.5,0
229.75,0
230,0
230.25,0
230.5,0
230.75,0
231,0
231.25,0
231.5,0
231.75,0
232,0
232.25,0
232.5,0
232.75,0
233,0
233.25,0
233.5,0
233.75,0
234,0
234.25,0
234.5,0
234.75,0
235,0
235.25,0
235.5,0
235.75,0
236,0
236.25,0
236.5,0
236.75,0
237,0
237.25,0
237.5,0
237.75,0
238,0
238.25,0
238.5,0
238.75,0
239,0
239.25,0
239.5,0
239.75,0
240,0
240.25,0
240.5,0
240.75,0
241,0
241.25,0
241.5,0
241.75,0
242,0
242.25,0
242.5,0
242.75,0
243,0
243.25,0
243.5,0
243.75,0
244,0
244.25,0
244.5,0
244.75,0
245,0
245.25,0
245.5,0
245.75,0
246,0
246.25,0
246.5,0
246.75,0
247,0
247.25,0
247.5,0
247.75,0
248,0
248.25,0
248.5,0
248.75,0
249,0
249.25,0
249.5,0
249.75,0
250,0
250.25,0
250.5,0
250.75,0
251,0
251.25,0
251.5,0
251.75,0
252,0
252.25,0
252.5,0
252.75,0
253,0
253.25,0
253.5,0
253.75,0
254,0
254.25,0
254.5,0
254.75,0
255,0
255.25,0
255.5,0
255.75,0
256,0
256.25,0
256.5,0
256.75,0
257,0
257.25,0
257.5,0
257.75,0
258,0
258.25,0
258.5,0
258.75,0
259,0
259.25,0
259.5,0
259.75,0
260,0
260.25,0
260.5,0
260.75,0
261,0
261.25,0
261.5,0
261.75,0
262,0
262.25,0
262.5,0
262.75,0
263,0
263.25,0
263.5,0
263.75,0
264,0
264.25,0
264.5,0
264.75,0
265,0
265.25,0
265.5,0
265.75,0
266,0
266.25,0
266.5,0
266.75,0
267,0
267.25,0
267.5,0
267.75,0
268,0
268.25,0
268.5,0
268.75,0
269,0
269.25,0
269.5,0
269.75,0
270,0
270.25,0
270.5,0
270.75,0
271,0
271.25,0
271.5,0
271.75,0
272,0
272.25,0
272.5,0
272.75,0
273,0
273.25,0
273.5,0
273.75,0
274,0
274.25,0
274.5,0
274.75,0
275,0
275.25,0
275.5,0
275.75,0
276,0
276.25,0
276.5,0
276.75,0
277,0
277.25,0
277.5,0
277.75,0
278,0
278.25,0
278.5,0
278.75,0
279,0
279.25,0
279.5,0
279.75,0
280,0
280.25,0
280.5,0
280.75,0
281,0
281.25,0
281.5,0
281.75,0
282,0
282.25,0
282.5,0
282.75,0
283,0
283.25,0
283.5,0
283.75,0
284,0
284.25,0
284.5,0
284.75,0
285,0
285.25,0
285.5,0
285.75,0
286,0
286.25,0
286.5,0
286.75,0
287,0
287.25,0
287.5,0
287.75,0
288,0
288.25,0
288.5,0
288.75,0
289,0
289.25,0
289.5,0
289.75,0
290,0
290.25,0
290.5,0
290.75,0
291,0
291.25,0
291.5,0
291.75,0
292,0
292.25,0
292.5,0
292.75,0
293,0
293.25,0
293.5,0
293.75,0
294,0
294.25,0
294.5,0
294.75,0
295,0
295.25,0
295.5,0
295.75,0
296,0
296.25,0
296.5,0
296.75,0
297,0
297.25,0
297.5,0
297.75,0
298,0
298.25,0
298.5,0
298.75,0
299,0
299.25,0
299.5,0
299.75,0
300,0
300.25,0
300.5,0
300.75,0
301,0
301.25,0
301.5,0
301.75,0
302,0
302.25,0
302.5,0
302.75,0
303,0
303.25,0
303.5,0
303.75,0
304,0
304.25,0
304.5,0
304.75,0
305,0
305.25,0
305.5,0
305.75,0
306,0
306.25,0
306.5,0
306.75,0
307,0
307.25,0
307.5,0
307.75,0
308,0
308.25,0
308.5,0
308.75,0
309,0
309.25,0
309.5,0
309.75,0
310,0
310.25,0
310.5,0
310.75,0
311,0
311.25,0
311.5,0
311.75,0
312,0
312.25,0
312.5,0
312.75,0
313,0
313.25,0
313.5,0
313.75,0
314,0
314.25,0
314.5,0
314.75,0
315,0
315.25,0
315.5,0
315.75,0
316,0
316.25,0
316.5,0
316.75,0
317,0
317.25,0
317.5,0
317.75,0
318,0
318.25,0
318.5,0
318.75,0
319,0
319.25,0
319.5,0
319.75,0
320,0
320.25,0
320.5,0
320.75,0
321,0
321.25,0
321.5,0
321.75,0
322,0
322.25,0
322.5,0
322.75,0
323,0
323.25,0
323.5,0
323.75,0
324,0
324.25,0
324.5,0
324.75,0
325,0
325.25,0
325.5,0
325.75,0
326,0
326.25,0
326.5,0
326.75,0
327,0
327.25,0
327.5,0
327.75,0
328,0
328.25,0
328.5,0
328.75,0
329,0
329.25,0
329.5,0
329.75,0
330,0
330.25,0
330.5,0
330.75,0
331,0
331.25,0
331.5,0
331.75,0
332,0
332.25,0
332.5,0
332.75,0
333,0
333.25,0
333.5,0
333.75,0
334,0
334.25,0
334.5,0
334.75,0
335,0
335.25,0
335.5,0
335.75,0
336,0
336.25,0
336.5,0
336.75,0
337,0
337.25,0
337.5,0
337.75,0
338,0
338.25,0
338.5,0
338.75,0
339,0
339.25,0
339.5,0
339.75,0
340,0
340.25,0
340.5,0
340.75,0
341,0
341.25,0
341.5,0
341.75,0
342,0
342.25,0
342.5,0
342.75,0
343,0
343.25,0
343.5,0
343.75,0
344,0
344.25,0
344.5,0
344.75,0
345,0
345.25,0
345.5,0
345.75,0
346,0
346.25,0
346.5,0
346.75,0
347,0
347.25,0
347.5,0
347.75,0
348,0
348.25,0
348.5,0
348.75,0
349,0
349.25,0
349.5,0
349.75,0
350,0
350.25,0
350.5,0
350.75,0
351,0
351.25,0
351.5,0
351.75,0
352,0
352.25,0
352.5,0
352.75,0
353,0
353.25,0
353.5,0
353.75,0
354,0
354.25,0
354.5,0
354.75,0
355,0
355.25,0
355.5,0
355.75,0
356,0
356.25,0
356.5,0
356.75,0
357,0
357.25,0
357.5,0
357.75,0
358,0
358.25,0
358.5,0
358.75,0
359,0
359.25,0
359.5,0
359.75,0
360,0
360.25,0
360.5,0
360.75,0
361,0
361.25,0
361.5,0
361.75,0
362,0
362.25,0
362.5,0
362.75,0
363,0
363.25,0
363.5,0
363.75,0
364,0
364.25,0
364.5,0
364.75,0
365,0
365.25,0
365.5,0
365.75,0
366,0
366.25,0
366.5,0
366.75,0
367,0
367.25,0
367.5,0
367.75,0
368,0
368.25,0
368.5,0
368.75,0
369,0
369.25,0
369.5,0
369.75,0
370,0
370.25,0
370.5,0
370.75,0
371,0
371.25,0
371.5,0
371.75,0
372,0
372.25,0
372.5,0
372.75,0
373,0
373.25,0
373.5,0
373.75,0
374,0
374.25,0
374.5,0
374.75,0
375,0
375.25,0
375.5,0
375.75,0
376,0
376.25,0
376.5,0
376.75,0
377,0
377.25,0
377.5,0
377.75,0
378,0
378.25,0
378.5,0
378.75,0
379,0
379.25,0
379.5,0
379.75,0
380,0
380.25,0
380.5,0
380.75,0
381,0
381.25,0
381.5,0
381.75,0
382,0
382.25,0
382.5,0
382.75,0
383,0
383.25,0
383.5,0
383.75,0
384,0
384.25,0
384.5,0
384.75,0
385,0
385.25,0
385.5,0
385.75,0
386,0
386.25,0
386.5,0
386.75,0
387,0
387.25,0
387.5,0
387.75,0
388,0
388.25,0
388.5,0
388.75,0
389,0
389.25,0
389.5,0
389.75,0
390,0
390.25,0
390.5,0
390.75,0
391,0
391.25,0
391.5,0
391.75,0
392,0
392.25,0
392.5,0
392.75,0
393,0
393.25,0
393.5,0
393.75,0
394,0
394.25,0
394.5,0
394.75,0
395,0
395.25,0
395.5,0
395.75,0
396,0
396.25,0
396.5,0
396.75,0
397,0
397.25,0
397.5,0
397.75,0
398,0
398.25,0
398.5,0
398.75,0
399,0
399.25,0
399.5,0
399.75,0
400,0
400.25,0
400.5,0
400.75,0
401,0
401.25,0
401.5,0
401.75,0
402,0
402.25,0
402.5,0
402.75,0
403,0
403.25,0
403.5,0
403.75,0
404,0
404.25,0
404.5,0
404.75,0
405,0
405.25,0
405.5,0
405.75,0
406,0
406.25,0
406.5,0
406.75,0
407,0
407.25,0
407.5,0
407.75,0
408,0
408.25,0
408.5,0
408.75,0
409,0
409.25,0
409.5,0
409.75,0
410,0
410.25,0
410.5,0
410.75,0
411,0
411.25,0
411.5,0
411.75,0
412,0
412.25,0
412.5,0
412.75,0
413,0
413.25,0
413.5,0
413.75,0
414,0
414.25,0
414.5,0
414.75,0
415,0
415.25,0
415.5,0
415.75,0
416,0
416.25,0
416.5,0
416.75,0
417,0
417.25,0
417.5,0
417.75,0
418,0
418.25,0
418.5,0
418.75,0
419,0
419.25,0
419.5,0
419.75,0
420,0
420.25,0
420.5,0
420.75,0
421,0
421.25,0
421.5,0
421.75,0
422,0
422.25,0
422.5,0
422.75,0
423,0
423.25,0
423.5,0
423.75,0
424,0
424.25,0
424.5,0
424.75,0
425,0
425.25,0
425.5,0
425.75,0
426,0
426.25,0
426.5,0
426.75,0
427,0
427.25,0
427.5,0
427.75,0
428,0
428.25,0
428.5,0
428.75,0
429,0
429.25,0
429.5,0
429.75,0
430,0
430.25,0
430.5,0
430.75,0
431,0
431.25,0
431.5,0
431.75,0
432,0
432.25,0
432.5,0
432.75,0
433,0
433.25,0
433.5,0
433.75,0
434,0
434.25,0
434.5,0
434.75,0
435,0
435.25,0
435.5,0
435.75,0
436,0
436.25,0
436.5,0
436.75,0
437,0
437.25,0
437.5,0
437.75,0
438,0
438.25,0
438.5,0
438.75,0
439,0
439.25,0
439.5,0
439.75,0
440,0
440.25,0
440.5,0
440.75,0
441,0
441.25,0
441.5,0
441.75,0
442,0
442.25,0
442.5,0
442.75,0
443,0
443.25,0
443.5,0
443.75,0
444,0
444.25,0
444.5,0
444.75,0
445,0
445.25,0
445.5,0
445.75,0
446,0
446.25,0
446.5,0
446.75,0
447,0
447.25,0
447.5,0
447.75,0
448,0
448.25,0
448.5,0
448.75,0
449,0
449.25,0
449.5,0
449.75,0
450,0
450.25,0
450.5,0
450.75,0
451,0
451.25,0
451.5,0
451.75,0
452,0
452.25,0
452.5,0
452.75,0
453,0
453.25,0
453.5,0
453.75,0
454,0
454.25,0
454.5,0
454.75,0
455,0
455.25,0
455.5,0
455.75,0
456,0
456.25,0
456.5,0
456.75,0
457,0
457.25,0
457.5,0
457.75,0
458,0
458.25,0
458.5,0
458.75,0
459,0
459.25,0
459.5,0
459.75,0
460,0
460.25,0
460.5,0
460.75,0
461,0
461.25,0
461.5,0
461.75,0
462,0
462.25,0
462.5,0
462.75,0
463,0
463.25,0
463.5,0
463.75,0
464,0
464.25,0
464.5,0
464.75,0
465,0
465.25,0
465.5,0
465.75,0
466,0
466.25,0
466.5,0
466.75,0
467,0
467.25,0
467.5,0
467.75,0
468,0
468.25,0
468.5,0
468.75,0
469,0
469.25,0
469.5,0
469.75,0
470,0
470.25,0
470.5,0
470.75,0
471,0
471.25,0
471.5,0
471.75,0
472,0
472.25,0
472.5,0
472.75,0
473,0
473.25,0
473.5,0
473.75,0
474,0
474.25,0
474.5,0
474.75,0
475,0
475.25,0
475.5,0
475.75,0
476,0
476.25,0
476.5,0
476.75,0
477,0
477.25,0
477.5,0
477.75,0
478,0
478.25,0
478.5,0
478.75,0
479,0
479.25,0
479.5,0
479.75,0
480,0
480.25,0
480.5,0
480.75,0
481,0
481.25,0
481.5,0
481.75,0
482,0
482.25,0
482.5,0
482.75,0
483,0
483.25,0
483.5,0
483.75,0
484,0
484.25,0
484.5,0
484.75,0
485,0
485.25,0
485.5,0
485.75,0
486,0
486.25,0
486.5,0
486.75,0
487,0
487.25,0
487.5,0
487.75,0
488,0
488.25,0
488.5,0
488.75,0
489,0
489.25,0
489.5,0
489.75,0
490,0
490.25,0
490.5,0
490.75,0
491,0
491.25,0
491.5,0
491.75,0
492,0
492.25,0
492.5,0
492.75,0
493,0
493.25,0
493.5,0
493.75,0
494,0
494.25,0
494.5,0
494.75,0
495,0
495.25,0
495.5,0
495.75,0
496,0
496.25,0
496.5,0
496.75,0
497,0
497.25,0
497.5,0
497.75,0
498,0
498.25,0
498.5,0
498.75,0
499,0
499.25,0
499.5,0
499.75,0
500,0
500.25,0
500.5,0
500.75,0
501,0
501.25,0
501.5,0
501.75,0
502,0
502.25,0
502.5,0
502.75,0
503,0
503.25,0
503.5,0
503.75,0
504,0
504.25,0
504.5,0
504.75,0
505,0
505.25,0
505.5,0
505.75,0
506,0
506.25,0
506.5,0
506.75,0
507,0
507.25,0
507.5,0
507.75,0
508,0
508.25,0
508.5,0
508.75,0
509,0
509.25,0
509.5,0
509.75,0
510,0
510.25,0
510.5,0
510.75,0
511,0
511.25,0
511.5,0
511.75,0
512,0
512.25,0
512.5,0
512.75,0
513,0
513.25,0
513.5,0
513.75,0
514,0
514.25,0
514.5,0
514.75,0
515,0
515.25,0
515.5,0
515.75,0
516,0
516.25,0
516.5,0
516.75,0
517,0
517.25,0
517.5,0
517.75,0
518,0
518.25,0
518.5,0
518.75,0
519,0
519.25,0
519.5,0
519.75,0
520,0
520.25,0
520.5,0
520.75,0
521,0
521.25,0
521.5,0
521.75,0
522,0
522.25,0
522.5,0
522.75,0
523,0
523.25,0
523.5,0
523.75,0
524,0
524.25,0
524.5,0
524.75,0
525,0
525.25,0
525.5,0
525.75,0
526,0
526.25,0
526.5,0
526.75,0
527,0
527.25,0
527.5,0
527.75,0
528,0
528.25,0
528.5,0
528.75,0
529,0
529.25,0
529.5,0
529.75,0
530,0
530.25,0
530.5,0
530.75,0
531,0
531.25,0
531.5,0
531.75,0
532,0
532.25,0
532.5,0
532.75,0
533,0
533.25,0
533.5,0
533.75,0
534,0
534.25,0
534.5,0
534.75,0
535,0
535.25,0
535.5,0
535.75,0
536,0
536.25,0
536.5,0
536.75,0
537,0
537.25,0
537.5,0
537.75,0
538,0
538.25,0
538.5,0
538.75,0
539,0
539.25,0
539.5,0
539.75,0
540,0
540.25,0
540.5,0
