Time,cumulative_mean_fraction_lambda_H
61.5,0.309041
61.75,0.308214
62,0.308914
62.25,0.308696
62.5,0.308417
62.75,0.3083
63,0.307557
63.25,0.308464
63.5,0.309251
63.75,0.30853
64,0.309198
64.25,0.309188
64.5,0.309496
64.75,0.309219
65,0.30823
65.25,0.308109
65.5,0.308562
65.75,0.308335
66,0.30868
66.25,0.309295
66.5,0.308899
66.75,0.308273
67,0.306337
67.25,0.305574
67.5,0.305134
67.75,0.304368
68,0.302963
68.25,0.30335
68.5,0.30312
68.75,0.302233
69,0.301384
69.25,0.300283
69.5,0.299512
69.75,0.299215
70,0.299263
70.25,0.298907
70.5,0.299151
70.75,0.298182
71,0.298064
71.25,0.297569
71.5,0.29754
71.75,0.298551
72,0.298929
72.25,0.299039
72.5,0.298859
72.75,0.299461
73,0.29954
73.25,0.300411
73.5,0.300709
73.75,0.300105
74,0.300216
74.25,0.301447
74.5,0.301187
74.75,0.300405
75,0.300686
75.25,0.299732
75.5,0.300145
75.75,0.300018
76,0.299456
76.25,0.300175
76.5,0.299395
76.75,0.30021
77,0.300787
77.25,0.300349
77.5,0.300163
77.75,0.300551
78,0.300751
78.25,0.301153
78.5,0.300449
78.75,0.300989
79,0.300769
79.25,0.300108
79.5,0.299699
79.75,0.299815
80,0.29971
80.25,0.299638
80.5,0.300216
80.75,0.300035
81,0.299864
81.25,0.299577
81.5,0.299142
81.75,0.299077
82,0.298307
82.25,0.298077
82.5,0.297842
82.75,0.296983
83,0.29811
83.25,0.298652
83.5,0.298815
83.75,0.299051
84,0.299023
84.25,0.299573
84.5,0.298841
84.75,0.299182
85,0.299002
85.25,0.298956
85.5,0.299608
85.75,0.299335
86,0.300124
86.25,0.300352
86.5,0.300597
86.75,0.300664
87,0.300433
87.25,0.299903
87.5,0.299955
87.75,0.299316
88,0.300019
88.25,0.300639
88.5,0.301041
88.75,0.301141
89,0.301042
89.25,0.300862
89.5,0.300198
89.75,0.300451
90,0.300551
90.25,0.300154
90.5,0.300622
90.75,0.300581
91,0.299689
91.25,0.299235
91.5,0.299277
91.75,0.298969
92,0.298452
92.25,0.298387
92.5,0.298002
92.75,0.297718
93,0.297653
93.25,0.297636
93.5,0.296995
93.75,0.296692
94,0.296162
94.25,0.295509
94.5,0.295281
94.75,0.295023
95,0.294969
95.25,0.294757
95.5,0.294107
95.75,0.293854
96,0.293986
96.25,0.293592
96.5,0.293722
96.75,0.293987
97,0.294744
97.25,0.294851
97.5,0.294792
97.75,0.294527
98,0.294847
98.25,0.295085
98.5,0.295042
98.75,0.2944
99,0.294285
99.25,0.294564
99.5,0.294607
99.75,0.294039
100,0.293659
100.25,0.293498
100.5,0.293024
100.75,0.2927
101,0.292229
101.25,0.292358
101.5,0.292243
101.75,0.29203
102,0.292227
102.25,0.292465
102.5,0.292546
102.75,0.292403
103,0.292574
103.25,0.292414
103.5,0.292542
103.75,0.292788
104,0.293078
104.25,0.293064
104.5,0.293159
104.75,0.293136
105,0.293129
105.25,0.292975
105.5,0.292898
105.75,0.292878
106,0.293037
106.25,0.292844
106.5,0.292938
106.75,0.292751
107,0.292567
107.25,0.292606
107.5,0.292566
107.75,0.292463
108,0.292838
108.25,0.292709
108.5,0.29279
108.75,0.292434
109,0.292285
109.25,0.292003
109.5,0.292152
109.75,0.292503
110,0.292717
110.25,0.292808
110.5,0.292983
110.75,0.292878
111,0.293154
111.25,0.293011
111.5,0.293113
111.75,0.293164
112,0.293093
112.25,0.293451
112.5,0.29324
112.75,0.293252
113,0.293377
113.25,0.293259
113.5,0.293411
113.75,0.293578
114,0.293191
114.25,0.293335
114.5,0.2935
114.75,0.293382
115,0.293153
115.25,0.293237
115.5,0.293484
115.75,0.293445
116,0.293435
116.25,0.293368
116.5,0.293247
116.75,0.293224
117,0.293297
117.25,0.293345
117.5,0.293204
117.75,0.29325
118,0.293103
118.25,0.293184
118.5,0.293022
118.75,0.293121
119,0.293181
119.25,0.293173
119.5,0.293359
119.75,0.293529
120,0.293397
120.25,0.293542
120.5,0.293669
120.75,0.293828
121,0.29399
121.25,0.293907
121.5,0.29403
121.75,0.293987
122,0.29412
122.25,0.294503
122.5,0.294457
122.75,0.294579
123,0.294336
123.25,0.294152
123.5,0.294402
123.75,0.294319
124,0.294336
124.25,0.294321
124.5,0.294582
124.75,0.29467
125,0.294878
125.25,0.294789
125.5,0.294624
125.75,0.294402
126,0.294145
126.25,0.294239
126.5,0.294397
126.75,0.294273
127,0.294356
127.25,0.294331
127.5,0.294265
127.75,0.29432
128,0.29444
128.25,0.294286
128.5,0.29431
128.75,0.294376
129,0.294327
129.25,0.294182
129.5,0.294257
129.75,0.294278
130,0.294313
130.25,0.294503
130.5,0.294754
130.75,0.294824
131,0.295019
131.25,0.295007
131.5,0.295086
131.75,0.295251
132,0.295308
132.25,0.295311
132.5,0.295442
132.75,0.29554
133,0.29549
133.25,0.295436
133.5,0.295462
133.75,0.295516
134,0.295491
134.25,0.295471
134.5,0.295572
134.75,0.295515
135,0.295678
135.25,0.295606
135.5,0.29598
135.75,0.295791
136,0.295872
136.25,0.295952
136.5,0.296103
136.75,0.296203
137,0.29634
137.25,0.296413
137.5,0.296413
137.75,0.296647
138,0.296672
138.25,0.296544
138.5,0.296618
138.75,0.296692
139,0.296871
139.25,0.296902
139.5,0.297017
139.75,0.297176
140,0.297256
140.25,0.297402
140.5,0.297507
140.75,0.297415
141,0.297352
141.25,0.29731
141.5,0.297256
141.75,0.297326
142,0.297286
142.25,0.297512
142.5,0.297511
142.75,0.297607
143,0.29764
143.25,0.297846
143.5,0.297779
143.75,0.297897
144,0.297958
144.25,0.298016
144.5,0.297947
144.75,0.298193
145,0.298268
145.25,0.298326
145.5,0.298244
145.75,0.298302
146,0.298384
146.25,0.298476
146.5,0.298453
146.75,0.298557
147,0.298735
147.25,0.298825
147.5,0.298915
147.75,0.299023
148,0.299089
148.25,0.299134
148.5,0.299187
148.75,0.299212
149,0.299384
149.25,0.299412
149.5,0.299434
149.75,0.299533
150,0.299614
150.25,0.29968
150.5,0.299767
150.75,0.299791
151,0.299833
151.25,0.29983
151.5,0.299887
151.75,0.299888
152,0.300029
152.25,0.30016
152.5,0.300159
152.75,0.300191
153,0.300178
153.25,0.300289
153.5,0.300279
153.75,0.300217
154,0.300302
154.25,0.300377
154.5,0.300389
154.75,0.300372
155,0.300432
155.25,0.300584
155.5,0.300631
155.75,0.300644
156,0.300724
156.25,0.300791
156.5,0.300815
156.75,0.300801
157,0.300723
157.25,0.300757
157.5,0.300863
157.75,0.300919
158,0.301034
158.25,0.30112
158.5,0.30122
158.75,0.301275
159,0.301339
159.25,0.301402
159.5,0.301377
159.75,0.301437
160,0.301486
160.25,0.301467
160.5,0.30153
160.75,0.301554
161,0.301695
161.25,0.301711
161.5,0.3017
161.75,0.301712
162,0.301716
162.25,0.301778
162.5,0.301795
162.75,0.301839
163,0.301892
163.25,0.301972
163.5,0.302001
163.75,0.302095
164,0.302109
164.25,0.302187
164.5,0.302263
164.75,0.302349
165,0.30239
165.25,0.302405
165.5,0.302399
165.75,0.302458
166,0.302454
166.25,0.302447
166.5,0.302509
166.75,0.302549
167,0.30259
167.25,0.302641
167.5,0.302723
167.75,0.302775
168,0.302786
168.25,0.302803
168.5,0.302854
168.75,0.302902
169,0.302954
169.25,0.303026
169.5,0.30305
169.75,0.30309
170,0.303176
170.25,0.303236
170.5,0.303285
170.75,0.303323
171,0.303465
171.25,0.303541
171.5,0.303591
171.75,0.303637
172,0.303647
172.25,0.303665
172.5,0.303717
172.75,0.303742
173,0.303807
173.25,0.303856
173.5,0.303877
173.75,0.303921
174,0.303999
174.25,0.304041
174.5,0.304106
174.75,0.304084
175,0.304184
175.25,0.304213
175.5,0.304256
175.75,0.304303
176,0.304319
176.25,0.304313
176.5,0.304324
176.75,0.304377
177,0.304438
177.25,0.304524
177.5,0.304586
177.75,0.304684
178,0.304688
178.25,0.304715
178.5,0.304743
178.75,0.304791
179,0.304877
179.25,0.304886
179.5,0.304926
179.75,0.304949
180,0.30497
180.25,0.304994
180.5,0.30502
180.75,0.304999
181,0.305002
181.25,0.305041
181.5,0.30509
181.75,0.305121
182,0.305156
182.25,0.305173
182.5,0.305182
182.75,0.305197
183,0.305244
183.25,0.305285
183.5,0.305312
183.75,0.305356
184,0.305389
184.25,0.305409
184.5,0.305433
184.75,0.30546
185,0.305542
185.25,0.305567
185.5,0.305571
185.75,0.305583
186,0.305604
186.25,0.305626
186.5,0.305659
186.75,0.305739
187,0.305775
187.25,0.305795
187.5,0.305833
187.75,0.305842
188,0.305854
188.25,0.305871
188.5,0.305901
188.75,0.305896
189,0.305907
189.25,0.305957
189.5,0.30594
189.75,0.305946
190,0.305951
190.25,0.305947
190.5,0.305998
190.75,0.306008
191,0.306048
191.25,0.306078
191.5,0.306075
191.75,0.306095
192,0.306075
192.25,0.30613
192.5,0.306126
192.75,0.30614
193,0.30618
193.25,0.306183
193.5,0.306238
193.75,0.306262
194,0.306296
194.25,0.306327
194.5,0.306369
194.75,0.306382
195,0.306375
195.25,0.306372
195.5,0.306396
195.75,0.306399
196,0.306408
196.25,0.306418
196.5,0.30643
196.75,0.306456
197,0.306455
197.25,0.306447
197.5,0.306457
197.75,0.306465
198,0.306477
198.25,0.306487
198.5,0.306474
198.75,0.30647
199,0.306465
199.25,0.306479
199.5,0.306488
199.75,0.306505
200,0.306542
200.25,0.306558
200.5,0.306569
200.75,0.306547
201,0.306556
201.25,0.306585
201.5,0.306609
201.75,0.306616
202,0.306646
202.25,0.30667
202.5,0.306684
202.75,0.306682
203,0.306683
203.25,0.306675
203.5,0.306672
203.75,0.306679
204,0.306682
204.25,0.306696
204.5,0.306722
204.75,0.30672
205,0.306726
205.25,0.30674
205.5,0.306733
205.75,0.30675
206,0.306731
206.25,0.306746
206.5,0.306751
206.75,0.306742
207,0.306752
207.25,0.306753
207.5,0.306766
207.75,0.306763
208,0.306755
208.25,0.30676
208.5,0.306766
208.75,0.306765
209,0.306777
209.25,0.306788
209.5,0.306798
209.75,0.306808
210,0.306821
210.25,0.306831
210.5,0.306838
210.75,0.306851
211,0.30686
211.25,0.306876
211.5,0.306857
211.75,0.306895
212,0.306916
212.25,0.306918
212.5,0.306934
212.75,0.306947
213,0.30696
213.25,0.306959
213.5,0.306979
213.75,0.306985
214,0.306981
214.25,0.306979
214.5,0.30699
214.75,0.306988
215,0.307008
215.25,0.307009
215.5,0.307007
215.75,0.307005
216,0.306999
216.25,0.306995
216.5,0.307013
216.75,0.30702
217,0.307005
217.25,0.30702
217.5,0.307015
217.75,0.307019
218,0.307019
218.25,0.307018
218.5,0.307017
218.75,0.30701
219,0.307006
219.25,0.307003
219.5,0.307018
219.75,0.307006
220,0.307011
220.25,0.307015
220.5,0.307022
220.75,0.307039
221,0.307043
221.25,0.30704
221.5,0.30704
221.75,0.307049
222,0.307049
222.25,0.307051
222.5,0.307047
222.75,0.307042
223,0.307038
223.25,0.307045
223.5,0.307047
223.75,0.30705
224,0.307054
224.25,0.307057
224.5,0.307064
224.75,0.307058
225,0.307057
225.25,0.307057
225.5,0.307057
225.75,0.307062
226,0.307055
226.25,0.30706
226.5,0.307064
226.75,0.307073
227,0.30708
227.25,0.307081
227.5,0.307087
227.75,0.307095
228,0.307105
228.25,0.307105
228.5,0.307124
228.75,0.307124
229,0.307127
229.25,0.307136
229.5,0.307137
229.75,0.307148
230,0.307156
230.25,0.307174
230.5,0.307176
230.75,0.307168
231,0.307166
231.25,0.307178
231.5,0.30718
231.75,0.307182
232,0.307182
232.25,0.307166
232.5,0.307176
232.75,0.307175
233,0.30717
233.25,0.30717
233.5,0.307178
233.75,0.307181
234,0.307188
234.25,0.307196
234.5,0.307199
234.75,0.307197
235,0.307199
235.25,0.307198
235.5,0.307214
235.75,0.307215
236,0.307216
236.25,0.307215
236.5,0.30722
236.75,0.307223
237,0.307228
237.25,0.307239
237.5,0.307236
237.75,0.307238
238,0.307243
238.25,0.307242
238.5,0.307245
238.75,0.307248
239,0.307257
239.25,0.307258
239.5,0.307255
239.75,0.307252
240,0.307251
240.25,0.307249
240.5,0.307238
240.75,0.307239
241,0.307244
241.25,0.307251
241.5,0.307252
241.75,0.307252
242,0.307255
242.25,0.307259
242.5,0.30725
242.75,0.307251
243,0.307259
243.25,0.307268
243.5,0.307275
243.75,0.307278
244,0.307284
244.25,0.307287
244.5,0.307286
244.75,0.307293
245,0.307294
245.25,0.307285
245.5,0.307285
245.75,0.307285
246,0.307294
246.25,0.307295
246.5,0.307293
246.75,0.30729
247,0.307297
247.25,0.307297
247.5,0.307296
247.75,0.307302
248,0.307306
248.25,0.307311
248.5,0.307318
248.75,0.307312
249,0.307316
249.25,0.307312
249.5,0.307314
249.75,0.307314
250,0.307314
250.25,0.307316
250.5,0.30732
250.75,0.307325
251,0.307326
251.25,0.30733
251.5,0.307335
251.75,0.307333
252,0.307335
252.25,0.307339
252.5,0.307349
252.75,0.307351
253,0.307349
253.25,0.307348
253.5,0.307349
253.75,0.307351
254,0.307359
254.25,0.307356
254.5,0.307353
254.75,0.30735
255,0.307354
255.25,0.307351
255.5,0.307351
255.75,0.307357
256,0.307359
256.25,0.307365
256.5,0.307368
256.75,0.307376
257,0.307378
257.25,0.30738
257.5,0.307381
257.75,0.307382
258,0.307384
258.25,0.307387
258.5,0.307393
258.75,0.307394
259,0.307393
259.25,0.307391
259.5,0.307389
259.75,0.307392
260,0.307394
260.25,0.307396
260.5,0.307397
260.75,0.307403
261,0.30741
261.25,0.307412
261.5,0.30741
261.75,0.307409
262,0.307411
262.25,0.307412
262.5,0.307412
262.75,0.307411
263,0.307415
263.25,0.307423
263.5,0.307432
263.75,0.307432
264,0.307437
264.25,0.307439
264.5,0.30744
264.75,0.307438
265,0.307436
265.25,0.307436
265.5,0.307438
265.75,0.307437
266,0.307435
266.25,0.307439
266.5,0.307445
266.75,0.307446
267,0.307449
267.25,0.307449
267.5,0.307448
267.75,0.307444
268,0.307442
268.25,0.307442
268.5,0.307443
268.75,0.307445
269,0.307443
269.25,0.307443
269.5,0.307442
269.75,0.307444
270,0.307445
270.25,0.307447
270.5,0.307448
270.75,0.307448
271,0.307445
271.25,0.307443
271.5,0.307443
271.75,0.307441
272,0.307444
272.25,0.307442
272.5,0.30744
272.75,0.307443
273,0.307444
273.25,0.307443
273.5,0.307444
273.75,0.307444
274,0.307442
274.25,0.307441
274.5,0.307443
274.75,0.307443
275,0.307442
275.25,0.307442
275.5,0.307444
275.75,0.307445
276,0.307447
276.25,0.307445
276.5,0.307444
276.75,0.307442
277,0.307445
277.25,0.307444
277.5,0.307443
277.75,0.307445
278,0.307446
278.25,0.307446
278.5,0.307446
278.75,0.307447
279,0.307448
279.25,0.307448
279.5,0.307447
279.75,0.307448
280,0.307449
280.25,0.30745
280.5,0.307451
280.75,0.307453
281,0.307453
281.25,0.307454
281.5,0.307455
281.75,0.307454
282,0.307454
282.25,0.307454
282.5,0.307453
282.75,0.307455
283,0.307454
283.25,0.307455
283.5,0.307456
283.75,0.307457
284,0.307458
284.25,0.307457
284.5,0.307457
284.75,0.307456
285,0.307456
285.25,0.307455
285.5,0.307454
285.75,0.307454
286,0.307455
286.25,0.307456
286.5,0.307456
286.75,0.307458
287,0.307458
287.25,0.307458
287.5,0.307457
287.75,0.307458
288,0.307458
288.25,0.307457
288.5,0.307458
288.75,0.307458
289,0.307457
289.25,0.307456
289.5,0.307456
289.75,0.307457
290,0.307458
290.25,0.307459
290.5,0.307458
290.75,0.307459
291,0.307458
291.25,0.307459
291.5,0.307459
291.75,0.307458
292,0.307458
292.25,0.307457
292.5,0.307457
292.75,0.307458
293,0.307458
293.25,0.307457
293.5,0.307457
293.75,0.307457
294,0.307456
294.25,0.307456
294.5,0.307457
294.75,0.307456
295,0.307456
295.25,0.307457
295.5,0.307457
295.75,0.30746
296,0.307459
296.25,0.30746
296.5,0.30746
296.75,0.307459
297,0.307458
297.25,0.307457
297.5,0.307456
297.75,0.307457
298,0.307457
298.25,0.307457
298.5,0.307457
298.75,0.307457
299,0.307457
299.25,0.307457
299.5,0.30746
299.75,0.307459
300,0.307459
300.25,0.30746
300.5,0.307461
300.75,0.30746
301,0.30746
301.25,0.30746
301.5,0.30746
301.75,0.30746
302,0.307461
302.25,0.307461
302.5,0.307461
302.75,0.307461
303,0.307461
303.25,0.307461
303.5,0.307461
303.75,0.307461
304,0.307461
304.25,0.307461
304.5,0.307461
304.75,0.30746
305,0.30746
305.25,0.30746
305.5,0.307461
305.75,0.307461
306,0.307461
306.25,0.307461
306.5,0.307461
306.75,0.307461
307,0.307462
307.25,0.307462
307.5,0.307463
307.75,0.307463
308,0.307463
308.25,0.307462
308.5,0.307461
308.75,0.307461
309,0.307461
309.25,0.307461
309.5,0.307461
309.75,0.30746
310,0.30746
310.25,0.30746
310.5,0.30746
310.75,0.30746
311,0.307459
311.25,0.307459
311.5,0.307459
311.75,0.307459
312,0.307459
312.25,0.307458
312.5,0.30746
312.75,0.30746
313,0.30746
313.25,0.30746
313.5,0.307458
313.75,0.307458
314,0.307458
314.25,0.307458
314.5,0.307458
314.75,0.307458
315,0.307458
315.25,0.307458
315.5,0.307458
315.75,0.307458
316,0.307457
316.25,0.307457
316.5,0.307457
316.75,0.307457
317,0.307457
317.25,0.307456
317.5,0.307456
317.75,0.307456
318,0.307456
318.25,0.307456
318.5,0.307455
318.75,0.307455
319,0.307455
319.25,0.307455
319.5,0.307455
319.75,0.307455
320,0.307455
320.25,0.307455
320.5,0.307456
320.75,0.307455
321,0.307455
321.25,0.307455
321.5,0.307455
321.75,0.307454
322,0.307454
322.25,0.307454
322.5,0.307454
322.75,0.307456
323,0.307457
323.25,0.307457
323.5,0.307457
323.75,0.307457
324,0.307458
324.25,0.307458
324.5,0.307458
324.75,0.307458
325,0.307458
325.25,0.307458
325.5,0.307458
325.75,0.307458
326,0.307458
326.25,0.307458
326.5,0.307458
326.75,0.307458
327,0.307458
327.25,0.307458
327.5,0.307458
327.75,0.307458
328,0.307458
328.25,0.307458
328.5,0.307458
328.75,0.307458
329,0.307458
329.25,0.307458
329.5,0.307458
329.75,0.307457
330,0.307457
330.25,0.307457
330.5,0.307457
330.75,0.307457
331,0.307457
331.25,0.307457
331.5,0.307457
331.75,0.307457
332,0.307457
332.25,0.307457
332.5,0.307457
332.75,0.307457
333,0.307457
333.25,0.307457
333.5,0.307457
333.75,0.307457
334,0.307457
334.25,0.307457
334.5,0.307457
334.75,0.307457
335,0.307457
335.25,0.307457
335.5,0.307457
335.75,0.307457
336,0.307457
336.25,0.307457
336.5,0.307457
336.75,0.307457
337,0.307457
337.25,0.307457
337.5,0.307457
337.75,0.307457
338,0.307457
338.25,0.307457
338.5,0.307457
338.75,0.307457
339,0.307457
339.25,0.307457
339.5,0.307457
339.75,0.307457
340,0.307457
340.25,0.307457
340.5,0.307457
340.75,0.307457
341,0.307457
341.25,0.307457
341.5,0.307457
341.75,0.307457
342,0.307457
342.25,0.307457
342.5,0.307457
342.75,0.307457
343,0.307457
343.25,0.307457
343.5,0.307457
343.75,0.307457
344,0.307457
344.25,0.307457
344.5,0.307457
344.75,0.307457
345,0.307457
345.25,0.307457
345.5,0.307457
345.75,0.307457
346,0.307457
346.25,0.307457
346.5,0.307457
346.75,0.307457
347,0.307457
347.25,0.307457
347.5,0.307457
347.75,0.307457
348,0.307457
348.25,0.307457
348.5,0.307457
348.75,0.307457
349,0.307457
349.25,0.307457
349.5,0.307457
349.75,0.307457
350,0.307457
350.25,0.307457
350.5,0.307457
350.75,0.307457
351,0.307457
351.25,0.307457
351.5,0.307457
351.75,0.307457
352,0.307457
352.25,0.307457
352.5,0.307457
352.75,0.307457
353,0.307457
353.25,0.307457
353.5,0.307457
353.75,0.307457
354,0.307457
354.25,0.307457
354.5,0.307457
354.75,0.307457
355,0.307457
355.25,0.307457
355.5,0.307457
355.75,0.307457
356,0.307457
356.25,0.307457
356.5,0.307457
356.75,0.307457
357,0.307457
357.25,0.307457
357.5,0.307457
357.75,0.307457
358,0.307457
358.25,0.307457
358.5,0.307457
358.75,0.307457
359,0.307457
359.25,0.307457
359.5,0.307457
359.75,0.307457
360,0.307457
360.25,0.307457
360.5,0.307457
360.75,0.307457
361,0.307457
361.25,0.307457
361.5,0.307457
361.75,0.307457
362,0.307457
362.25,0.307457
362.5,0.307457
362.75,0.307457
363,0.307457
363.25,0.307457
363.5,0.307457
363.75,0.307457
364,0.307457
364.25,0.307457
364.5,0.307457
364.75,0.307457
365,0.307457
365.25,0.307457
365.5,0.307457
365.75,0.307457
366,0.307457
366.25,0.307457
366.5,0.307457
366.75,0.307457
367,0.307457
367.25,0.307457
367.5,0.307457
367.75,0.307457
368,0.307457
368.25,0.307457
368.5,0.307457
368.75,0.307457
369,0.307457
369.25,0.307457
369.5,0.307457
369.75,0.307457
370,0.307457
370.25,0.307457
370.5,0.307457
370.75,0.307457
371,0.307457
371.25,0.307457
371.5,0.307457
371.75,0.307457
372,0.307457
372.25,0.307457
372.5,0.307457
372.75,0.307457
373,0.307457
373.25,0.307457
373.5,0.307457
373.75,0.307457
374,0.307457
374.25,0.307457
374.5,0.307457
374.75,0.307457
375,0.307457
375.25,0.307457
375.5,0.307457
375.75,0.307457
376,0.307457
376.25,0.307457
376.5,0.307457
376.75,0.307457
377,0.307457
377.25,0.307457
377.5,0.307457
377.75,0.307457
378,0.307457
378.25,0.307457
378.5,0.307457
378.75,0.307457
379,0.307457
379.25,0.307457
379.5,0.307457
379.75,0.307457
380,0.307457
380.25,0.307457
380.5,0.307457
380.75,0.307457
381,0.307457
381.25,0.307457
381.5,0.307457
381.75,0.307457
382,0.307457
382.25,0.307457
382.5,0.307457
382.75,0.307457
383,0.307457
383.25,0.307457
383.5,0.307457
383.75,0.307457
384,0.307457
384.25,0.307457
384.5,0.307457
384.75,0.307457
385,0.307457
385.25,0.307457
385.5,0.307457
385.75,0.307457
386,0.307457
386.25,0.307457
386.5,0.307457
386.75,0.307457
387,0.307457
387.25,0.307457
387.5,0.307457
387.75,0.307457
388,0.307457
388.25,0.307457
388.5,0.307457
388.75,0.307457
389,0.307457
389.25,0.307457
389.5,0.307457
389.75,0.307457
390,0.307457
390.25,0.307457
390.5,0.307457
390.75,0.307457
391,0.307457
391.25,0.307457
391.5,0.307457
391.75,0.307457
392,0.307457
392.25,0.307457
392.5,0.307457
392.75,0.307457
393,0.307457
393.25,0.307457
393.5,0.307457
393.75,0.307457
394,0.307457
394.25,0.307457
394.5,0.307457
394.75,0.307457
395,0.307457
395.25,0.307457
395.5,0.307457
395.75,0.307457
396,0.307457
396.25,0.307457
396.5,0.307457
396.75,0.307457
397,0.307457
397.25,0.307457
397.5,0.307457
397.75,0.307457
398,0.307457
398.25,0.307457
398.5,0.307457
398.75,0.307457
399,0.307457
399.25,0.307457
399.5,0.307457
399.75,0.307457
400,0.307457
400.25,0.307457
400.5,0.307457
400.75,0.307457
401,0.307457
401.25,0.307457
401.5,0.307457
401.75,0.307457
402,0.307457
402.25,0.307457
402.5,0.307457
402.75,0.307457
403,0.307457
403.25,0.307457
403.5,0.307457
403.75,0.307457
404,0.307457
404.25,0.307457
404.5,0.307457
404.75,0.307457
405,0.307457
405.25,0.307457
405.5,0.307457
405.75,0.307457
406,0.307457
406.25,0.307457
406.5,0.307457
406.75,0.307457
407,0.307457
407.25,0.307457
407.5,0.307457
407.75,0.307457
408,0.307457
408.25,0.307457
408.5,0.307457
408.75,0.307457
409,0.307457
409.25,0.307457
409.5,0.307457
409.75,0.307457
410,0.307457
410.25,0.307457
410.5,0.307457
410.75,0.307457
