Time,susceptible_lambda_W
63,168.163
63.25,167.354
63.5,180.652
63.75,187.82
64,195.28
64.25,192.657
64.5,202.689
64.75,194.622
65,194.326
65.25,197.88
65.5,202.221
65.75,209.757
66,211.368
66.25,201.503
66.5,210.311
66.75,208.023
67,212.691
67.25,222.328
67.5,228.713
67.75,232.07
68,237.231
68.25,236.962
68.5,242.746
68.75,241.588
69,244.445
69.25,231.414
69.5,234.728
69.75,230.371
70,229.055
70.25,226.659
70.5,233.702
70.75,232.532
71,240.367
71.25,247.321
71.5,249.645
71.75,254.371
72,257.733
72.25,249.171
72.5,258.904
72.75,255.603
73,268.441
73.25,269.923
73.5,269.634
73.75,277.812
74,270.915
74.25,269.962
74.5,276.341
74.75,286.745
75,281.788
75.25,286.587
75.5,303.837
75.75,305.349
76,304.896
76.25,312.414
76.5,325.541
76.75,336.124
77,349.713
77.25,358.575
77.5,360.519
77.75,356.124
78,354.349
78.25,359.904
78.5,385.629
78.75,398.148
79,408.329
79.25,421.007
79.5,428.376
79.75,438.127
80,446.653
80.25,457.324
80.5,473.112
80.75,474.665
81,486.48
81.25,482.804
81.5,482.139
81.75,500.713
82,497.936
82.25,511.444
82.5,492.396
82.75,507.646
83,498.425
83.25,501.144
83.5,514.965
83.75,548.074
84,549.685
84.25,543.721
84.5,545.814
84.75,538.386
85,565.653
85.25,558.246
85.5,571.086
85.75,604.698
86,602.513
86.25,620.004
86.5,641.496
86.75,653.337
87,663.906
87.25,652.125
87.5,658.638
87.75,657.006
88,667.62
88.25,676.295
88.5,699.3
88.75,701.577
89,721.364
89.25,737.256
89.5,761.59
89.75,751.754
90,773.39
90.25,799.972
90.5,832.674
90.75,829.194
91,831.136
91.25,842.807
91.5,865.628
91.75,856.967
92,853.213
92.25,868.088
92.5,875.525
92.75,902.827
93,886.056
93.25,907.145
93.5,910.264
93.75,918.751
94,923.84
94.25,951.254
94.5,942.021
94.75,966.051
95,981.013
95.25,990.656
95.5,1011.8
95.75,1022.2
96,1036.93
96.25,1050.76
96.5,1050.82
96.75,1056.31
97,1087.28
97.25,1114.04
97.5,1125.35
97.75,1185.49
98,1191.51
98.25,1218.51
98.5,1232.04
98.75,1253.12
99,1248.46
99.25,1271.84
99.5,1279.89
99.75,1292.02
100,1315.67
100.25,1321.95
100.5,1322.36
100.75,1346.28
101,1346.26
101.25,1342.74
101.5,1341.21
101.75,1367.51
102,1388.43
102.25,1425.72
102.5,1452.49
102.75,1450.77
103,1511.26
103.25,1532.89
103.5,1566.74
103.75,1555.38
104,1576.33
104.25,1629.7
104.5,1614.21
104.75,1655.56
105,1660.9
105.25,1688.48
105.5,1711.93
105.75,1718.42
106,1743.33
106.25,1765.57
106.5,1806.89
106.75,1839.03
107,1879.16
107.25,1923.83
107.5,1933.72
107.75,1974.59
108,2014.71
108.25,2022.35
108.5,1999.65
108.75,1996.99
109,2004.8
109.25,2028.4
109.5,2044.02
109.75,2069.48
110,2083.43
110.25,2115.9
110.5,2118.98
110.75,2137.46
111,2164.73
111.25,2198.12
111.5,2216.73
111.75,2253.87
112,2297.79
112.25,2292.4
112.5,2294.23
112.75,2307.65
113,2376.4
113.25,2386.63
113.5,2409.28
113.75,2447.7
114,2515.88
114.25,2529.27
114.5,2546.59
114.75,2565.51
115,2591.89
115.25,2630.67
115.5,2653.03
115.75,2669.84
116,2677.7
116.25,2708.28
116.5,2726.08
116.75,2734.71
117,2761.98
117.25,2742.97
117.5,2744.93
117.75,2828.96
118,2891.58
118.25,2929.93
118.5,2965.58
118.75,2942.83
119,2988.87
119.25,2993.99
119.5,2971.37
119.75,2999.02
120,2999.02
120.25,3014.67
120.5,2994.92
120.75,3033.77
121,3050.04
121.25,3125.05
121.5,3175.32
121.75,3175.75
122,3236.83
122.25,3254.75
122.5,3263.9
122.75,3302.9
123,3313.61
123.25,3347.54
123.5,3369.35
123.75,3378.79
124,3409.22
124.25,3490.01
124.5,3507.22
124.75,3543.65
125,3594.49
125.25,3630.33
125.5,3662.05
125.75,3722.28
126,3774.45
126.25,3785.1
126.5,3842.16
126.75,3850.45
127,3883.86
127.25,3907.82
127.5,3919.48
127.75,3928.77
128,3969.87
128.25,3903.3
128.5,3920.94
128.75,3928.37
129,3972.66
129.25,3923.07
129.5,3935.23
129.75,3995.34
130,4039.75
130.25,4088.06
130.5,4111.56
130.75,4119.25
131,4123.11
131.25,4121.46
131.5,4134.43
131.75,4204.55
132,4219.53
132.25,4229.63
132.5,4276.01
132.75,4295.78
133,4335.91
133.25,4351.6
133.5,4360.82
133.75,4391.49
134,4401.16
134.25,4426.4
134.5,4410.76
134.75,4426.61
135,4458.15
135.25,4456.61
135.5,4528.2
135.75,4550.7
136,4539.86
136.25,4552.22
136.5,4530.2
136.75,4547.08
137,4556.63
137.25,4603.27
137.5,4627.71
137.75,4590.73
138,4574.33
138.25,4590.48
138.5,4609.59
138.75,4613.67
139,4619.51
139.25,4642.12
139.5,4699.21
139.75,4688.54
140,4705.98
140.25,4706.72
140.5,4749.79
140.75,4792.74
141,4739.76
141.25,4690.93
141.5,4707.98
141.75,4713.68
142,4711.52
142.25,4719.29
142.5,4672.76
142.75,4661.72
143,4625.87
143.25,4625.22
143.5,4611.58
143.75,4644.89
144,4625.02
144.25,4653.55
144.5,4648.77
144.75,4622.61
145,4584.61
145.25,4558.34
145.5,4550.84
145.75,4588.96
146,4581.9
146.25,4625.91
146.5,4602.4
146.75,4595.11
147,4551.3
147.25,4545.36
147.5,4517.86
147.75,4520.71
148,4530.13
148.25,4492.06
148.5,4480.43
148.75,4442.84
149,4442.68
149.25,4420.79
149.5,4397.48
149.75,4414.85
150,4380.06
150.25,4394.29
150.5,4402.81
150.75,4358.68
151,4342.72
151.25,4310.49
151.5,4302.6
151.75,4259.48
152,4257.82
152.25,4276.82
152.5,4286.57
152.75,4266.66
153,4222.83
153.25,4205.31
153.5,4163.78
153.75,4109.09
154,4110.64
154.25,4070.63
154.5,4071.9
154.75,4071.78
155,4046.87
155.25,4009.38
155.5,4001.68
155.75,3978.61
156,3961.31
156.25,3968.08
156.5,3921.39
156.75,3861.59
157,3854.26
157.25,3811.15
157.5,3796.81
157.75,3770.16
158,3788.6
158.25,3747.07
158.5,3713.05
158.75,3670.35
159,3661.74
159.25,3675.45
159.5,3637.35
159.75,3583.57
160,3570.34
160.25,3520.28
160.5,3500.03
160.75,3479.64
161,3466.87
161.25,3445.43
161.5,3418.65
161.75,3341.28
162,3322.38
162.25,3337.5
162.5,3328.17
162.75,3312.15
163,3294.24
163.25,3261.39
163.5,3228.63
163.75,3198.81
164,3177.92
164.25,3159.24
164.5,3104.82
164.75,3069.12
165,3046.57
165.25,2983.68
165.5,2952.52
165.75,2938.57
166,2912.7
166.25,2877.39
166.5,2848.18
166.75,2811.19
167,2778.21
167.25,2753.05
167.5,2701.45
167.75,2667.49
168,2633.76
168.25,2607.22
168.5,2592.93
168.75,2560.13
169,2535.58
169.25,2507.82
169.5,2484.64
169.75,2471.13
170,2441.88
170.25,2418.84
170.5,2359.48
170.75,2343.71
171,2319.98
171.25,2281.86
171.5,2270.8
171.75,2247.94
172,2226.51
172.25,2234.76
172.5,2242.23
172.75,2187.93
173,2145.25
173.25,2131.6
173.5,2101.05
173.75,2096.72
174,2047.87
174.25,2033.89
174.5,2001.89
174.75,1992.17
175,1979.48
175.25,1917.15
175.5,1911.13
175.75,1875.34
176,1831.57
176.25,1803.31
176.5,1781.64
176.75,1749.58
177,1714.09
177.25,1703.99
177.5,1678.29
177.75,1637.55
178,1623.43
178.25,1601.34
178.5,1590.19
178.75,1582.3
179,1575.9
179.25,1559.71
179.5,1555.95
179.75,1525.32
180,1503.09
180.25,1495.36
180.5,1464.31
180.75,1447.57
181,1440.86
181.25,1422.67
181.5,1420.79
181.75,1398.91
182,1355.12
182.25,1353.5
182.5,1325.08
182.75,1307
183,1288.11
183.25,1275.22
183.5,1276.85
183.75,1250.39
184,1226.92
184.25,1223.88
184.5,1199.75
184.75,1206.54
185,1191.88
185.25,1162.39
185.5,1145.08
185.75,1120.36
186,1101.24
186.25,1092.91
186.5,1075.15
186.75,1062.04
187,1036.28
187.25,1027.6
187.5,1018.2
187.75,1012.81
188,1003.4
188.25,987.224
188.5,970.757
188.75,948.729
189,934.477
189.25,932.415
189.5,917.373
189.75,899.607
190,879.765
190.25,871.925
190.5,862.61
190.75,851.91
191,849.735
191.25,845.443
191.5,836.034
191.75,814.48
192,796.97
192.25,794.596
192.5,794.604
192.75,781.472
193,768.085
193.25,763.199
193.5,747.713
193.75,730.378
194,721.97
194.25,724.302
194.5,724.264
194.75,718.968
195,710.701
195.25,704.307
195.5,705.199
195.75,697.705
196,683.924
196.25,666.514
196.5,650.914
196.75,636.92
197,626.169
197.25,631.038
197.5,612.834
197.75,604.527
198,590.645
198.25,582.02
198.5,582.599
198.75,573.779
199,560.269
199.25,558.184
199.5,547.495
199.75,546.367
200,537.425
200.25,538.526
200.5,521.136
200.75,520.307
201,516.211
201.25,508.033
201.5,504.841
201.75,485.07
202,480.191
202.25,480.413
202.5,473.116
202.75,473.856
203,461.882
203.25,454.217
203.5,434.096
203.75,439.741
204,434.328
204.25,421.892
204.5,412.306
204.75,410.776
205,396.007
205.25,386.459
205.5,381.744
205.75,377.428
206,374.191
206.25,371.352
206.5,374.127
206.75,375.641
207,374.454
207.25,368.934
207.5,367.853
207.75,365.445
208,359.642
208.25,349.502
208.5,345.631
208.75,340.168
209,328.832
209.25,322.725
209.5,319.075
209.75,310.606
210,304.253
210.25,296.88
210.5,294.525
210.75,288.683
211,279.012
211.25,271.721
211.5,264.026
211.75,264.883
212,266.066
212.25,258.119
212.5,253.764
212.75,250.557
213,248.825
213.25,248.332
213.5,245.611
213.75,249.731
214,260.437
214.25,251.917
214.5,253.866
214.75,254.967
215,253.778
215.25,257.517
215.5,253.376
215.75,248.756
216,249.131
216.25,252.409
216.5,246.721
216.75,244.03
217,241.5
217.25,229.954
217.5,228.08
217.75,227.949
218,218.508
218.25,214.073
218.5,207.195
218.75,205.068
219,196.672
219.25,192.345
219.5,192.767
219.75,194.374
220,196.057
220.25,194.777
220.5,194.718
220.75,191.395
221,189.552
221.25,184.942
221.5,181.933
221.75,173.683
222,178.038
222.25,181.565
222.5,175.66
222.75,171.64
223,170.876
223.25,169.133
223.5,164.252
223.75,169.417
224,161.182
224.25,161.011
224.5,154.425
224.75,146.544
225,142.371
225.25,134.728
225.5,133.971
225.75,135.301
226,143.593
226.25,136.619
226.5,127.655
226.75,126.795
227,121.859
227.25,127.513
227.5,119.374
227.75,121.589
228,116.425
228.25,112.346
228.5,116.579
228.75,114.724
229,113.926
229.25,110.58
229.5,110.591
229.75,111.146
230,107.182
230.25,110.374
230.5,108.282
230.75,111.665
231,110.118
231.25,108.093
231.5,107.801
231.75,106.597
232,101.322
232.25,98.1426
232.5,102.893
232.75,100.382
233,100.903
233.25,100.901
233.5,99.2699
233.75,101.656
234,99.0839
234.25,98.1338
234.5,95.3175
234.75,92.0749
235,95.4456
235.25,89.4868
235.5,89.4984
235.75,88.6989
236,91.3005
236.25,89.564
236.5,86.4301
236.75,85.3857
237,86.7254
237.25,85.6259
237.5,84.9112
237.75,78.7213
238,79.3394
238.25,75.7587
238.5,72.1258
238.75,72.3531
239,65.5192
239.25,65.7151
239.5,65.3916
239.75,61.9757
240,65.3263
240.25,65.8633
240.5,65.9596
240.75,65.0113
241,58.5517
241.25,59.3304
241.5,58.0151
241.75,58.5328
242,58.6276
242.25,58.2075
242.5,62.8728
242.75,60.3671
243,60.4915
243.25,61.3251
243.5,61.2012
243.75,60.6816
244,58.8971
244.25,60.0034
244.5,59.1628
244.75,58.798
245,55.8211
245.25,57.15
245.5,54.1103
245.75,54.6981
246,56.9103
246.25,51.3392
246.5,50.3178
246.75,51.7494
247,51.0143
247.25,51.227
247.5,56.6307
247.75,48.7635
248,46.889
248.25,45.1479
248.5,43.83
248.75,41.5582
249,41.7905
249.25,41.4055
249.5,41.7643
249.75,40.3829
250,40.0812
250.25,40.3092
250.5,39.5865
250.75,36.7322
251,38.4628
251.25,35.853
251.5,35.5103
251.75,36.6966
252,36.0182
252.25,34.4076
252.5,35.0659
252.75,41.6909
253,43.4084
253.25,43.0142
253.5,39.3577
253.75,39.9176
254,37.5578
254.25,32.3513
254.5,29.8717
254.75,28.7708
255,28.9888
255.25,25.4257
255.5,25.0766
255.75,23.7487
256,24.006
256.25,23.7106
256.5,24.1232
256.75,23.8506
257,23.4512
257.25,22.5548
257.5,22.9529
257.75,22.397
258,22.4458
258.25,22.9352
258.5,22.622
258.75,22.0993
259,21.5073
259.25,20.5714
259.5,19.5677
259.75,19.8663
260,17.885
260.25,16.9117
260.5,16.5144
260.75,15.6789
261,15.5493
261.25,13.6349
261.5,14.2183
261.75,12.2781
262,11.1454
262.25,11.7611
262.5,11.1339
262.75,10.9553
263,11.2934
263.25,11.8279
263.5,10.786
263.75,11.4969
264,11.6825
264.25,11.5022
264.5,10.779
264.75,11.3317
265,10.2163
265.25,9.27594
265.5,9.57562
265.75,11.6874
266,11.8571
266.25,11.4885
266.5,12.0734
266.75,11.9977
267,13.058
267.25,12.4404
267.5,10.8001
267.75,11.1874
268,10.7652
268.25,11.0738
268.5,10.7352
268.75,8.90521
269,7.56978
269.25,8.04449
269.5,8.95296
269.75,8.33764
270,7.40074
270.25,7.19491
270.5,7.96603
270.75,8.49307
271,7.51936
271.25,8.82104
271.5,8.50792
271.75,7.24031
272,6.51925
272.25,6.44439
272.5,6.48056
272.75,6.32099
273,6.34556
273.25,6.2886
273.5,5.76608
273.75,5.33282
274,6.15683
274.25,5.39533
274.5,4.85548
274.75,4.85853
275,5.40373
275.25,5.8197
275.5,7.37487
275.75,7.51216
276,7.5145
276.25,7.31092
276.5,5.50439
276.75,5.61216
277,5.21885
277.25,5.91078
277.5,6.46125
277.75,6.44244
278,7.84558
278.25,8.08561
278.5,8.07532
278.75,7.45606
279,8.10552
279.25,7.53077
279.5,8.00875
279.75,7.89727
280,7.5187
280.25,7.06324
280.5,6.78981
280.75,6.64435
281,5.64368
281.25,6.04484
281.5,6.06322
281.75,6.04803
282,6.23238
282.25,6.07012
282.5,6.17408
282.75,4.96891
283,5.22227
283.25,5.30915
283.5,5.14602
283.75,4.96773
284,2.94313
284.25,3.0311
284.5,2.96013
284.75,2.53477
285,3.18097
285.25,3.20744
285.5,3.23081
285.75,2.65045
286,3.06824
286.25,2.95115
286.5,3.14351
286.75,3.92612
287,2.64844
287.25,2.75398
287.5,2.3206
287.75,2.22987
288,2.23497
288.25,2.23326
288.5,2.2514
288.75,2.35735
289,2.49691
289.25,2.30368
289.5,2.28374
289.75,2.29221
290,2.2484
290.25,2.78899
290.5,2.77023
290.75,2.75425
291,1.82081
291.25,1.81565
291.5,1.66574
291.75,1.63588
292,1.64414
292.25,1.62633
292.5,1.9374
292.75,1.96932
293,2.34245
293.25,2.37114
293.5,2.36147
293.75,2.59417
294,2.56958
294.25,2.7032
294.5,2.62601
294.75,2.36176
295,2.42014
295.25,2.4026
295.5,2.287
295.75,2.25465
296,2.25863
296.25,2.31894
296.5,2.61155
296.75,2.55381
297,1.67848
297.25,1.63147
297.5,1.64278
297.75,1.95285
298,1.62946
298.25,1.62854
298.5,1.62152
298.75,1.62016
299,1.67319
299.25,1.59461
299.5,1.292
299.75,1.2387
300,0.826467
300.25,0.826467
300.5,0.805829
300.75,0.735954
301,0.506777
301.25,0.580319
301.5,0.500232
301.75,0.500232
302,0.483832
302.25,0.483837
302.5,0.483837
302.75,0.46446
303,0.46446
303.25,0.46558
303.5,0.503155
303.75,0.503073
304,0.469357
304.25,0.390133
304.5,0.390133
304.75,0.390178
305,0.382042
305.25,0.241811
305.5,0.241811
305.75,0.278208
306,0.278208
306.25,0.27588
306.5,0.27588
306.75,0.883819
307,0.8838
307.25,1.18752
307.5,1.18777
307.75,1.18777
308,1.14178
308.25,1.09206
308.5,1.09034
308.75,1.08943
309,1.08943
309.25,1.26898
309.5,1.0904
309.75,0.967895
310,0.967895
310.25,0.967895
310.5,0.967895
310.75,0.92001
311,0.871268
311.25,0.871268
311.5,0.822241
311.75,0.770699
312,0.810201
312.25,0.809097
312.5,0.809221
312.75,0.804447
313,0.824198
313.25,0.824847
313.5,0.720387
313.75,0.720388
314,0.720682
314.25,0.72068
314.5,0.947969
314.75,0.9425
315,0.725238
315.25,0.725238
315.5,0.728207
315.75,0.668325
316,0.630138
316.25,0.630138
316.5,0.630138
316.75,0.635023
317,0.635023
317.25,0.635023
317.5,0.713138
317.75,0.543293
318,0.52864
318.25,0.479561
318.5,0.479561
318.75,0.480201
319,0.479561
319.25,0.431605
319.5,0.431605
319.75,0.431605
320,0.431605
320.25,0.431605
320.5,0.431605
320.75,0.335692
321,0.335692
321.25,0.335692
321.5,0.335692
321.75,0.338155
322,0.339387
322.25,0.339387
322.5,0.732538
322.75,0.339387
323,0.339387
323.25,0.339596
323.5,0.00390385
323.75,0.00390385
324,0.00390385
324.25,0.00390385
324.5,0.000314649
324.75,0.000314649
325,0.000314649
325.25,0.00189333
325.5,0.000314649
325.75,0.000322704
326,0.000322704
326.25,0.000322704
326.5,0.000322704
326.75,0.000322704
327,0.000322704
327.25,0.000314649
327.5,0.127482
327.75,0.000314649
328,0.000314649
328.25,0.000314649
328.5,0.000314649
328.75,0.000314649
329,0.295862
329.25,0.295862
329.5,0.295862
329.75,0.295862
330,0.295862
330.25,0.000314649
330.5,0
330.75,0
331,0
331.25,0
331.5,0
331.75,0
332,0
332.25,0
332.5,0
332.75,0
333,0
333.25,0
333.5,0
333.75,0
334,0
334.25,0
334.5,0
334.75,0
335,0
335.25,0
335.5,0
335.75,0
336,0
336.25,0
336.5,0
336.75,0
337,0
337.25,0
337.5,0
337.75,0
338,0
338.25,0
338.5,0
338.75,0.418536
339,0
339.25,0
339.5,0
339.75,0
340,0
340.25,0
340.5,0
340.75,0
341,0
341.25,0
341.5,0
341.75,0
342,0
342.25,0
342.5,0
342.75,0
343,0
343.25,0
343.5,0
343.75,0
344,0
344.25,0
344.5,0
344.75,0
345,0
345.25,0
345.5,0
345.75,0
346,0
346.25,0
346.5,0
346.75,0
347,0
347.25,0
347.5,0
347.75,0
348,0
348.25,0
348.5,0
348.75,0
349,0
349.25,0
349.5,0
349.75,0
350,0
350.25,0
350.5,0
350.75,0
351,0
351.25,0
351.5,0
351.75,0
352,0
352.25,0
352.5,0
352.75,0
353,0
353.25,0
353.5,0
353.75,0
354,0
354.25,0
354.5,0
354.75,0
355,0
355.25,0
355.5,0
355.75,0
356,0
356.25,0
356.5,0
356.75,0
357,0
357.25,0
357.5,0
357.75,0
358,0
358.25,0
358.5,0
358.75,0
359,0
359.25,0
359.5,0
359.75,0
360,0
360.25,0
360.5,0
360.75,0
361,0
361.25,0
361.5,0
361.75,0
362,0
362.25,0
362.5,0
362.75,0
363,0
363.25,0
363.5,0
363.75,0
364,0
364.25,0
364.5,0
364.75,0
365,0
365.25,0
365.5,0
365.75,0
366,0
366.25,0
366.5,0
366.75,0
367,0
367.25,0
367.5,0
367.75,0
368,0
368.25,0
368.5,0
368.75,0
369,0
369.25,0
369.5,0
369.75,0
370,0
370.25,0
370.5,0
370.75,0
371,0
371.25,0
371.5,0
371.75,0
372,0
372.25,0
372.5,0
372.75,0
373,0
373.25,0
373.5,0
373.75,0
374,0
374.25,0
374.5,0
374.75,0
375,0
375.25,0
375.5,0
375.75,0
376,0
376.25,0
376.5,0
376.75,0
377,0
377.25,0
377.5,0
377.75,0
378,0
378.25,0
378.5,0
378.75,0
379,0
379.25,0
379.5,0
379.75,0
380,0
380.25,0
380.5,0
380.75,0
381,0
381.25,0
381.5,0
381.75,0
382,0
382.25,0
382.5,0
382.75,0
383,0
383.25,0
383.5,0
383.75,0
384,0
384.25,0
384.5,0
384.75,0
385,0
385.25,0
385.5,0
385.75,0
386,0
386.25,0
386.5,0
386.75,0
387,0
387.25,0
387.5,0
387.75,0
388,0
388.25,0
388.5,0
388.75,0
389,0
389.25,0
389.5,0
389.75,0
390,0
390.25,0
390.5,0
390.75,0
391,0
391.25,0
391.5,0
391.75,0
392,0
392.25,0
392.5,0
392.75,0
393,0
393.25,0
393.5,0
393.75,0
394,0
394.25,0
394.5,0
394.75,0
395,0
395.25,0
395.5,0
395.75,0
396,0
396.25,0
396.5,0
396.75,0
397,0
397.25,0
397.5,0
397.75,0
398,0
398.25,0
398.5,0
398.75,0
399,0
399.25,0
399.5,0
399.75,0
400,0
400.25,0
400.5,0
400.75,0
401,0
401.25,0
401.5,0
401.75,0
402,0
402.25,0
402.5,0
402.75,0
403,0
403.25,0
403.5,0
403.75,0
404,0
404.25,0
404.5,0
404.75,0
405,0
405.25,0
405.5,0
405.75,0
406,0
406.25,0
406.5,0
406.75,0
407,0
407.25,0
407.5,0
407.75,0
408,0
408.25,0
408.5,0
408.75,0
409,0
409.25,0
409.5,0
409.75,0
410,0
410.25,0
410.5,0
410.75,0
411,0
411.25,0
411.5,0
411.75,0
412,0
412.25,0
412.5,0
412.75,0
413,0
413.25,0
413.5,0
413.75,0
414,0
414.25,0
414.5,0
414.75,0
415,0
415.25,0
415.5,0
415.75,0
416,0
416.25,0
416.5,0
416.75,0
417,0
417.25,0
417.5,0
417.75,0
418,0
418.25,0
418.5,0
418.75,0
419,0
419.25,0
419.5,0
419.75,0
420,0
420.25,0
420.5,0
420.75,0
421,0
421.25,0
421.5,0
421.75,0
422,0
422.25,0
422.5,0
422.75,0
423,0
423.25,0
423.5,0
423.75,0
424,0
424.25,0
424.5,0
424.75,0
425,0
425.25,0
425.5,0
425.75,0
426,0
426.25,0
426.5,0
426.75,0
427,0
427.25,0
427.5,0
427.75,0
428,0
428.25,0
428.5,0
428.75,0
429,0
429.25,0
429.5,0
429.75,0
430,0
430.25,0
430.5,0
430.75,0
431,0
431.25,0
431.5,0
431.75,0
432,0
432.25,0
432.5,0
432.75,0
433,0
433.25,0
433.5,0
433.75,0
434,0
434.25,0
434.5,0
434.75,0
435,0
435.25,0
435.5,0
435.75,0
436,0
436.25,0
436.5,0
436.75,0
437,0
437.25,0
437.5,0
437.75,0
438,0
438.25,0
438.5,0
438.75,0
439,0
439.25,0
439.5,0
439.75,0
440,0
440.25,0
440.5,0
440.75,0
441,0
441.25,0
441.5,0
441.75,0
442,0
442.25,0
442.5,0
442.75,0
443,0
443.25,0
443.5,0
443.75,0
444,0
444.25,0
444.5,0
444.75,0
445,0
445.25,0
445.5,0
445.75,0
446,0
446.25,0
446.5,0
446.75,0
447,0
447.25,0
447.5,0
447.75,0
448,0
448.25,0
448.5,0
448.75,0
449,0
449.25,0
449.5,0
449.75,0
450,0
450.25,0
450.5,0
450.75,0
451,0
451.25,0
451.5,0
451.75,0
452,0
452.25,0
452.5,0
452.75,0
453,0
453.25,0
453.5,0
453.75,0
454,0
454.25,0
454.5,0
454.75,0
455,0
455.25,0
455.5,0
455.75,0
456,0
456.25,0
456.5,0
456.75,0
457,0
457.25,0
457.5,0
457.75,0
458,0
458.25,0
458.5,0
458.75,0
459,0
459.25,0
459.5,0
459.75,0
460,0
460.25,0
460.5,0
460.75,0
461,0
461.25,0
461.5,0
461.75,0
462,0
462.25,0
462.5,0
462.75,0
463,0
463.25,0
463.5,0
463.75,0
464,0
464.25,0
464.5,0
464.75,0
465,0
465.25,0
465.5,0
465.75,0
466,0
466.25,0
466.5,0
466.75,0
467,0
467.25,0
467.5,0
467.75,0
468,0
468.25,0
468.5,0
468.75,0
469,0
469.25,0
469.5,0
469.75,0
470,0
470.25,0
470.5,0
470.75,0
471,0
